Participants ^nns++++=Participants
engaging ^vwbg+++xvbg+=engaging
in ^in++++=in
at ^in++++=at
least ^ql++++=least
30 ^cd++++=30
minutes ^nns++++=minutes
of ^in++++=of
moderate ^jj++++=moderate-to-vigorous
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
vigorous ^jj+atrb+++=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MVPA)
mvpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
per ^nnu++++=per
day ^nn++++=day
exhibited ^vbd+++xvbn+=exhibited
lower ^jjr+atrb+++=lower
odds ^nns++++=odds
of ^in++++=of
prevalent ^jj+atrb+++=prevalent
depressive ^nn+++??+=depressive
symptoms ^nns++++=symptoms
( ^zz++++=(OR=0.71,
or=0.71 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci=0.53 ^np+++??+=CI=0.53
0.96 ^nn+++??+=0.96),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
( ^zz++++=(OR=0.72,
or=0.72 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci=0.54 ^np+++??+=CI=0.54
0.96 ^nn+++??+=0.96),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
( ^zz++++=(OR=0.71,
or=0.71 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci=0.52 ^np+++??+=CI=0.52
0.96 ^nn+++??+=0.96)
) ^zz++++=EXTRAWORD
after ^in++++=after
adjustment ^nn++++=adjustment
for ^in++++=for
potential ^jj+atrb+++=potential
covariates ^nns+++??+=covariates.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
reporting ^vwbg+++xvbg+=reporting
sedentary ^nn+++??+=sedentary
behavior ^nn++++=behavior
( ^zz++++=(SB)
sb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
10 ^cd++++=10
or ^cc++++=or
more ^ql++++=more
hours ^nns++++=hours
per ^nnu++++=per
day ^nn++++=day
had ^vb+hv+vrb++=had
higher ^jjr+atrb+++=higher
odds ^nns++++=odds
of ^in++++=of
prevalent ^jj+atrb+++=prevalent
depressive ^nn+++??+=depressive
symptoms ^nns++++=symptoms
( ^zz++++=(OR=1.39,
or=1.39 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci=1.02 ^np+++??+=CI=1.02
1.90 ^cd++++=1.90)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
fully ^rb+amp+++=fully
adjusted ^xvbn+++xvbn+=adjusted
models ^nns++++=models.
. ^zz++++=EXTRAWORD
Detailed ^jj+atrb+++=Detailed
results ^nns++++=results
from ^in++++=from
the ^ati++++=the
logistic ^nn+++??+=logistic
regression ^nn++++=regression
analyses ^nns++++=analyses
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbnx+=provided
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
linear ^jj+atrb+++=linear
regression ^nn++++=regression
models ^nns++++=models
adjusting ^vwbg+++xvbg+=adjusting
for ^in++++=for
relevant ^jj+atrb+++=relevant
covariates ^nns+++??+=covariates
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
each ^ppls++++=each
additional ^jj+atrb+++=additional
hour ^nn++++=hour
spent ^vbd+++xvbn+=spent
in ^in++++=in
Sb ^np+++??+=SB
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
0.22 ^nn+++??+=0.22-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
increase ^nn++++=increase
on ^in++++=on
the ^ati++++=the
Beck ^nn++++=Beck
Depression ^nn++++=Depression
Inventory ^nn++++=Inventory
( ^zz++++=(BDI;
bdi ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci=0.104 ^np+++??+=CI=0.104
0.338 ^nn+++??+=0.338)
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
0.16 ^nn+++??+=0.16-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
increase ^nn++++=increase
on ^in++++=on
the ^ati++++=the
Beck ^nn++++=Beck
Anxiety ^nn++++=Anxiety
Inventory ^nn++++=Inventory
( ^zz++++=(BAI;
bai ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci=0.021 ^np+++??+=CI=0.021
0.313 ^nn+++??+=0.313).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
linear ^jj+atrb+++=linear
models ^nns++++=models
for ^in++++=for
mvpa ^np++++=MVPA
and ^cc++++=and
sb ^np++++=SB
are ^vb+ber+aux++=are
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
