Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short
to ^in++++=to
long ^jj++++=long-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous
or ^cc++++=or
with ^in++++=with
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
large ^jj++++=large,
, ^zz++++=EXTRAWORD
to ^to++++=to
4 ^zz++++=4
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
2 ^zz++++=2-4-pinnate;
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
free ^jj++++=free;
; ^zz++++=EXTRAWORD
indument ^nn+nom+++=indument
formed ^vwbn+++xvbn+=formed
by ^in++++=by
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
acicular ^nn+++??+=acicular
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
absent ^jj++++=absent;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
marginal ^jj++++=marginal,
, ^zz++++=EXTRAWORD
discrete ^jj++++=discrete,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
single ^jj+atrb+++=single
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
and ^cc+phrs+++=and
outer ^jjb+atrb+++=outer
indusia ^nn+++??+=indusia
fused ^jj++++=fused
into ^in++++=into
purseor ^nn++++=purseor
cup ^nn++++=cup-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+++xvbn+=EXTRAWORD
or ^cc++++=or
hemi ^nn+++??+=hemi-globose
- ^zz++++=EXTRAWORD
globose ^nn++++=EXTRAWORD
indusia ^nn++++=indusia
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
