This ^dt+pdem+++=This
data ^vbz++++=data
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
technological ^jj+atrb+++=technological
inadequacies ^nns+nom+++=inadequacies
of ^in++++=of
both ^abx++++=both
urban ^jj+atrb+++=urban
and ^cc+phrs+++=and
rural ^jj+atrb+++=rural
schools ^nns++++=schools
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
even ^rb++++=even
worse ^jjr+pred+++=worse)
) ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
sustain ^vb++++=sustain
the ^ati++++=the
pedagogical ^jj+atrb+++=pedagogical
integration ^nn+nom+++=integration
of ^in++++=of
Dict ^np+++??+=DICT.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
data ^nns++++=data
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
64 ^cd++++=64%
% ^zz++++=EXTRAWORD
of ^in++++=of
urban ^jj+atrb+++=urban
public ^nn++++=public
schools ^nns++++=schools
have ^vb+hv+vrb++=have
computer ^nn+nom+++=computer
labs ^nns+++??+=labs,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
clear ^jj++++=clear
that ^tht+jcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
spaces ^nns++++=spaces
that ^tht+rel+subj++=that
do ^vb+do+aux++=do
not ^xnot++not++=not
accommodate ^nn+nom+++=accommodate
an ^at++++=an
entire ^jjb+atrb+++=entire
class ^nn++++=class
of ^in++++=of
30 ^cd++++=30
students ^nns++++=students,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
these ^dt+dem+++=these
laboratories ^nns++++=laboratories
( ^zz++++=(78%)
78 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
less ^rbr++++=less
than ^in++++=than
six ^cd++++=six
computers ^nns+nom+++=computers
and ^cc++++=and
only ^rb+down+++=only
9 ^zz++++=9%
% ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
slightly ^rb+down+++=slightly
more ^rbr++++=more
than ^in++++=than
21 ^cd++++=21
computers ^nns+nom+++=computers
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2018b ^cd++++=2018b,
, ^zz++++=EXTRAWORD
2019b ^cd++++=2019b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
classes ^nns++++=classes
starting ^vwbg+++xvbg+=starting
the ^ati++++=the
second ^od++++=second
phase ^nn++++=phase
of ^in++++=of
elementary ^jj+atrb+++=elementary
school ^nn++++=school
in ^in++++=in
brazil ^np++++=Brazil
have ^vb+hv+vrb++=have
more ^rbr++++=more
than ^in++++=than
35 ^cd++++=35
students ^nns++++=students.
. ^zz++++=EXTRAWORD
