Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
light ^jj++++=light
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
40 ^cd++++=40-75
- ^zz++++=EXTRAWORD
75 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
25 ^cd++++=25-40
- ^zz++++=EXTRAWORD
40 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
entirely ^rb+amp+++=entirely
reddish ^jj++++=reddish-brown,
- ^zz++++=EXTRAWORD
brown ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
quadrangular ^nn+++??+=quadrangular,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
with ^in++++=with
light ^jj++++=light
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
acuminate ^nn+nom+++=acuminate
scales ^nns++++=scales
and ^cc++++=and
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
20 ^cd++++=20-40
- ^zz++++=EXTRAWORD
40 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
2 ^zz++++=2-pinnate;
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
winged ^jj++++=winged,
, ^zz++++=EXTRAWORD
reddish ^jj++++=reddish-brown,
- ^zz++++=EXTRAWORD
brown ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
10 ^cd++++=10-18
- ^zz++++=EXTRAWORD
18 ^cd++++=EXTRAWORD
2 ^zz++++=2-3
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
pinnules ^nns+++??+=pinnules
short ^jj++++=short-petiolulate,
- ^zz++++=EXTRAWORD
petiolulate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dimidiate ^nn+nom+++=dimidiate,
, ^zz++++=EXTRAWORD
1.2 ^cd++++=1.2-1.5
- ^zz++++=EXTRAWORD
1.5 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
the ^ati++++=the
veins ^nns++++=veins
abaxially ^rb++++=abaxially
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
sori ^jj+++??+=sori
interrupted ^jj+++xvbn+=interrupted,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
at ^rb++++=at
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
multiple ^jj+atrb+++=multiple
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
indusia ^nn++++=indusia
membranaceous ^jj++++=membranaceous,
, ^zz++++=EXTRAWORD
the ^ati++++=the
margin ^nn++++=margin
dentate ^nn+nom+++=dentate,
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous.
. ^zz++++=EXTRAWORD
