Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
long ^jj++++=long-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
brownish ^jj+atrb+++=brownish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
1 ^zz++++=1-3.5
- ^zz++++=EXTRAWORD
3.5 ^cd++++=EXTRAWORD
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
0.5 ^nn+++??+=0.5-2.5
- ^zz++++=EXTRAWORD
2.5 ^cd++++=EXTRAWORD
m ^zz++++=m
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
brown ^jj+atrb+++=brown,
, ^zz++++=EXTRAWORD
lighter ^jjr++++=lighter
brown ^np++++=brown
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
with ^in++++=with
acicular ^nn+++??+=acicular
hairs ^nns++++=hairs
or ^cc++++=or
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
0.5 ^nn+++??+=0.5-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
m ^zz++++=m
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
3 ^zz++++=3-pinnate-pinnatifid
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnatifid ^nn+++??+=EXTRAWORD
to ^to++++=to
4 ^zz++++=4-pinnate;
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
light ^jj++++=light
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
pilose ^nn+++??+=pilose,
, ^zz++++=EXTRAWORD
with ^in++++=with
brownish ^jj+atrb+++=brownish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
without ^in++++=without
proliferous ^jj+atrb+++=proliferous
buds ^nns++++=buds;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
25 ^cd++++=25-100
- ^zz++++=EXTRAWORD
100 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
12 ^cd++++=12-35
- ^zz++++=EXTRAWORD
35 ^cd++++=EXTRAWORD
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
subequilateral ^jj++++=subequilateral;
; ^zz++++=EXTRAWORD
pinnules ^nns+++??+=pinnules
sessile ^nn+++??+=sessile,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate
to ^in++++=to
oblong ^jj++++=oblong,
, ^zz++++=EXTRAWORD
margins ^nns++++=margins
dentate ^nn+nom+++=dentate;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
pilose ^jj+++??+=pilose,
, ^zz++++=EXTRAWORD
with ^in++++=with
light ^jj++++=light
brown ^jj++++=brown
to ^in++++=to
reddish ^jj+atrb+++=reddish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
costules ^nns+++??+=costules
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
pilose ^jj+++??+=pilose,
, ^zz++++=EXTRAWORD
with ^in++++=with
light ^jj++++=light
brown ^jj++++=brown
to ^in++++=to
reddish ^jj+atrb+++=reddish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
free ^jj++++=free,
, ^zz++++=EXTRAWORD
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
hirsute ^jj+++??+=hirsute,
, ^zz++++=EXTRAWORD
with ^in++++=with
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
light ^jj++++=light
brown ^jj++++=brown
to ^in++++=to
reddish ^jj+atrb+++=reddish
acicular ^nn+++??+=acicular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
the ^ati++++=the
veins ^nns++++=veins
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
with ^in++++=with
catenate ^nn+nom+++=catenate
and ^cc++++=and
acicular ^nn+++??+=acicular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
oblong ^jj++++=oblong
or ^cc+phrs+++=or
rounded ^jj+++xvbn+=rounded,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
at ^rb++++=at
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
single ^jj+atrb+++=single
veins ^nns++++=veins,
, ^zz++++=EXTRAWORD
in ^in++++=in
sinuses ^nns+++??+=sinuses
of ^in++++=of
segments ^nns+nom+++=segments;
; ^zz++++=EXTRAWORD
indusia ^nn+++??+=indusia
purse ^nn++++=purse-shaped,
- ^zz++++=EXTRAWORD
shaped ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
commonly ^rb++++=commonly
with ^in++++=with
acicular ^nn++++=acicular
and ^cc++++=and
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
