Neither ^dt++neg++=Neither
of ^in++++=of
the ^ati++++=the
examples ^nns++++=examples
show ^vb+vprv+++=show
clear ^jj+atrb+++=clear
evidence ^nn+nom+++=evidence
of ^in++++=of
exploring ^xvbg+++xvbg+=exploring
or ^cc++++=or
deepening ^jj+atrb+++=deepening
students ^nns++++=students
ideas ^nns++++=ideas.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
the ^ati++++=the
teachers ^nns+nom+++=teachers
had ^vb+hv+vrb++=had
clear ^jj+atrb+++=clear
objectives ^nns++++=objectives
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
achieve ^vbi++++=achieve
them ^pp3o+pp3+++=them
together ^nn+nom+++=together
with ^in++++=with
students ^nns++++=students.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
successful ^jj+pred+++=successful
in ^in++++=in
highlighting ^xvbg+++xvbg+=highlighting
the ^ati++++=the
comparative ^jj+atrb+++=comparative
analogy ^nn++++=analogy
between ^in++++=between
water ^nn++++=water
and ^cc++++=and
perfume ^nn++++=perfume
evaporation ^nn+nom+++=evaporation
and ^cc++++=and
emphasising ^nvbg+++xvbg+=emphasising
a ^at++++=a
microscopic ^jj+atrb+++=microscopic
explanation ^nn+nom+++=explanation
of ^in++++=of
the ^ati++++=the
evaporation ^nn+nom+++=evaporation
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
The ^ati++++=The
student ^nn++++=student
contributed ^vbd+++xvbn+=contributed
with ^in++++=with
few ^ap++++=few
words ^nns++++=words
and ^cc++++=and,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
teachers ^nns+nom+++=teachers
line ^nn++++=line
of ^in++++=of
reasoning ^nn++++=reasoning.
. ^zz++++=EXTRAWORD
