Rhizomes ^np+++??+=Rhizomes
long ^jj++++=long-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
setose ^nn+++??+=setose
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
large ^jj++++=large,
, ^zz++++=EXTRAWORD
to ^to++++=to
4.5 ^cd++++=4.5
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
3 ^zz++++=3-5-pinnate;
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
free ^jj++++=free;
; ^zz++++=EXTRAWORD
indument ^nn+nom+++=indument
formed ^vwbn+++xvbn+=formed
by ^in++++=by
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
acicular ^nn+++??+=acicular
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
arachnoid ^nn+++??+=arachnoid
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and/or
minute ^nn++++=minute
gnarled ^jj+atrb+++=gnarled
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
marginal ^jj++++=marginal,
, ^zz++++=EXTRAWORD
linear ^jj++++=linear,
, ^zz++++=EXTRAWORD
continuous ^jj++++=continuous
along ^in++++=along
the ^ati++++=the
laminar ^nn+++??+=laminar
margins ^nns++++=margins,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
on ^in++++=on
comissural ^jj+atrb+++=comissural
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn+++??+=indusia
vestigial ^jj++++=vestigial;
; ^zz++++=EXTRAWORD
outer ^jjb+atrb+++=outer
indusia ^nn++++=indusia
linear ^jj++++=linear
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
