Data ^nns++++=Data
archiving ^vwbg+++xvbg+=archiving
facilitates ^nns+nom+++=facilitates
collaboration ^nn+nom+++=collaboration
on ^in++++=on
many ^ap++++=many
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
For ^in++++=For
researchers ^nns+nom+++=researchers
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
remote ^jj+atrb+++=remote
collaboration ^nn+nom+++=collaboration
with ^in++++=with
the ^ati++++=the
speech ^nn++++=speech
community ^nn+nom+++=community
or ^cc++++=or
other ^ap++++=other
researchers ^nns+nom+++=researchers,
, ^zz++++=EXTRAWORD
archiving ^jj+atrb++xvbg+=archiving
data ^nns++++=data
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
created ^vpsv++agls+xvbnx+=created
or ^cc++++=or
as ^ql++++=as
analyses ^nns++++=analyses
are ^vb+ber+aux++=are
finished ^vpsv++agls+xvbnx+=finished
helps ^vbz++++=helps
the ^ati++++=the
entire ^jjb+atrb+++=entire
project ^nn++++=project
team ^nn++++=team
stay ^vb++++=stay
organized ^vbd+++xvbn+=organized.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
data ^nns++++=data
are ^vb+ber+aux++=are
organized ^vpsv++agls+xvbnx+=organized
and ^cc++++=and
archived ^jj+++xvbn+=archived,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
can ^md+pos+++=can
be ^vb+be+aux++=be
discovered ^vpsv++by+xvbnx+=discovered
by ^in++++=by
other ^ap++++=other
researchers ^nns+nom+++=researchers,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
turn ^nn++++=turn
can ^md+pos+++=can
lead ^vb++++=lead
to ^in++++=to
new ^jj+atrb+++=new
opportunities ^nns+nom+++=opportunities
for ^in++++=for
collaboration ^nn+nom+++=collaboration.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
archiving ^jj+atrb++xvbg+=archiving
data ^nns++++=data
helps ^vbz++++=helps
to ^to+vcmp+++=to
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
reuse ^nn+++??+=reuse
of ^in++++=of
the ^ati++++=the
primary ^jj+atrb+++=primary
data ^nns++++=data
for ^in++++=for
various ^jj+atrb+++=various
research ^nn++++=research
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
work ^nn++++=work
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
being ^vbg+beg+aux+xvbg+=being
done ^vprf+++xvbn+=done
in ^in++++=in
the ^ati++++=the
areas ^nns++++=areas
of ^in++++=of
natural ^jj+atrb+++=natural
language ^nn+nom+++=language
processing ^vwbg+++xvbg+=processing
and ^cc++++=and
linguistic ^jj+atrb+++=linguistic
typology ^nn+++??+=typology.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
archived ^jj+atrb++xvbn+=archived
data ^nns++++=data
can ^md+pos+++=can
be ^vb+be+aux++=be
cited ^vpsv++agls+xvbnx+=cited,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
crucial ^jj+pred+++=crucial
for ^in++++=for
creating ^xvbg+++xvbg+=creating
reproducible ^jj+atrb+++=reproducible
research ^nn++++=research
( ^zz++++=(BEREZKROEKER
berezkroeker ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Language ^nn+nom+++=Language
Documentation ^np+nom++??+=Documentation
& ^zz++++=&
Conservation ^np+nom++??+=Conservation,
, ^zz++++=EXTRAWORD
request ^nn++++=request
that ^tht+rel+obj++=that
the ^ati++++=the
data ^nns++++=data
sets ^vbz++++=sets
associated ^vbd+++xvbn+=associated
with ^in++++=with
an ^at++++=an
article ^nn++++=article
be ^vb+be+aux++=be
archived ^vpsv++agls+xvbnx+=archived
and ^cc+phrs+++=and
cited ^vwbn+++xvbn+=cited
appropriately ^rb++++=appropriately.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
researchers ^nns+nom+++=researchers
can ^md+pos+++=can
and ^cc++++=and
should ^md+nec+++=should
cite ^vb++++=cite
their ^pp$+pp3+++=their
own ^ap++++=own
archived ^jj+atrb++xvbn+=archived
data ^nns++++=data,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
researchers ^nns+nom+++=researchers
who ^whp+rel+subj++=who
use ^vb++++=use
archived ^vpsv++agls+xvbn+=archived
data ^nns++++=data
must ^md+nec+++=must
cite ^vb++++=cite
them ^pp3o+pp3+++=them
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
