This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
tactical ^jj+atrb+++=tactical
space ^nn++++=space,
, ^zz++++=EXTRAWORD
as ^ql++++=as
being ^xvbg+++xvbg+=being
pushed ^vbd+++xvbn+=pushed
towards ^in++++=towards
the ^ati++++=the
limits ^nns++++=limits
of ^in++++=of
the ^ati++++=the
roda ^nn+++??+=roda
( ^zz++++=(delimitated
delimitated ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
people ^nns++++=people
sitting ^vwbg+++xvbg+=sitting)
) ^zz++++=EXTRAWORD
puts ^vbz++++=puts
a ^at++++=a
capoeirista ^nn+++??+=capoeirista
into ^in++++=into
a ^at++++=a
disadvantageous ^jj+atrb+++=disadvantageous
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he/she
is ^vbz+bez+vrb++=is
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
perform ^vb++++=perform
only ^rb+down+++=only
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
range ^nn++++=range
of ^in++++=of
moves ^nns++++=moves.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
pushed ^vbd+++xvbn+=pushed
towards ^in++++=towards
the ^ati++++=the
boundaries ^nns++++=boundaries
of ^in++++=of
the ^ati++++=the
roda ^nn+++??+=roda,
, ^zz++++=EXTRAWORD
a ^at++++=a
capoeirista ^nn+++??+=capoeirista
will ^md+prd+++=will
usually ^rb+down+splt++=usually
try ^vb++++=try
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
a ^at++++=a
way ^nn++++=way
to ^to++++=to
escape ^vbi++++=escape
and ^cc+phrs+++=and
find ^vb+vprv+++=find
a ^at++++=a
better ^jjr+atrb+++=better
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
