The ^ati++++=The
focus ^nn++++=focus
groups ^nns++++=groups
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
and ^cc++++=and
transcribed ^jj+++xvbn+=transcribed,
, ^zz++++=EXTRAWORD
generating ^vbg+++xvbg+=generating
a ^at++++=a
corpus ^nn++++=corpus
of ^in++++=of
103 ^cd++++=103
pages ^nns++++=pages.
. ^zz++++=EXTRAWORD
To ^to++++=To
categorize ^vbi++++=categorize
emotions ^nns+nom+++=emotions,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
deductive ^jj+atrb+++=deductive
analysis ^nn++++=analysis
using ^vwbg+++xvbg+=using
the ^ati++++=the
list ^nn++++=list
of ^in++++=of
primary ^jj+atrb+++=primary
and ^cc+phrs+++=and
secondary ^jj+atrb+++=secondary
emotions ^nns+nom+++=emotions
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
Parrot ^nn++++=Parrot
( ^zz++++=(2001).
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bardin ^np++++=Bardin's
's ^$++++=EXTRAWORD
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
thematic ^jj+atrb+++=thematic
content ^nn++++=content
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
initially ^rb+tm+splt++=initially
adopted ^vpsv++agls+xvbnx+=adopted
to ^to++++=to
investigate ^nn+nom+++=investigate
the ^ati++++=the
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
support ^nn++++=support
of ^in++++=of
the ^ati++++=the
emotional ^jj+atrb+++=emotional
regulation ^nn+nom+++=regulation
models ^nns++++=models
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
to ^to++++=to
assist ^vbi++++=assist
in ^in++++=in
elaborating ^xvbg+++xvbg+=elaborating
an ^at++++=an
open ^nn++++=open
coding ^vwbg+++xvbg+=coding
system ^nn++++=system
of ^in++++=of
the ^ati++++=the
strategies ^nns+++??+=strategies
grouping ^vwbg+++xvbg+=grouping
them ^pp3o+pp3+++=them
into ^in++++=into
previous ^jj+atrb+++=previous
and ^cc+phrs+++=and
broad ^jj+atrb+++=broad
categories ^nns++++=categories.
. ^zz++++=EXTRAWORD
After ^in++++=After
defining ^xvbg+++xvbg+=defining
the ^ati++++=the
system ^nn++++=system,
, ^zz++++=EXTRAWORD
an ^at++++=an
inductive ^jj+atrb+++=inductive
analysis ^nn++++=analysis
supported ^vwbn+++xvbn+=supported
by ^in++++=by
the ^ati++++=the
Atlas.ti ^np+++??+=Atlas.ti
software ^nn+++??+=software
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
help ^vbi++++=help
identify ^vb++++=identify
context ^nn++++=context-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
strategies ^nns+++??+=strategies
and ^cc++++=and
tactics ^nns++++=tactics
not ^xnot++not++=not
covered ^vwbn+++xvbn+=covered
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
and ^cc++++=and
help ^nn++++=help
group ^nn++++=group,
, ^zz++++=EXTRAWORD
quantify ^vb++++=quantify,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
analyze ^nn+++??+=analyze
the ^ati++++=the
data ^nns++++=data.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
procedure ^nn++++=procedure
of ^in++++=of
systematic ^jj+atrb+++=systematic
comparison ^nn++++=comparison
between ^in++++=between
coded ^vbd+++xvbn+=coded
items ^nns++++=items
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
until ^in++++=until
data ^nns++++=data
saturation ^nn+nom+++=saturation,
, ^zz++++=EXTRAWORD
exhausting ^jj+++xvbg+=exhausting
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
new ^jj++++=new
( ^zz++++=(sub)
sub ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
categories ^nns++++=categories
or ^cc++++=or
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
further ^jjb+atrb+++=further
reorganization ^nn+nom+++=reorganization
of ^in++++=of
data ^nns++++=data.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
method ^nn++++=method
revealed ^vbd+vprv++xvbn+=revealed
a ^at++++=a
wide ^jj+atrb+++=wide
variety ^nn++++=variety
of ^in++++=of
strategies ^nns+++??+=strategies
and ^cc++++=and
tactics ^nns++++=tactics
used ^vwbn+++xvbn+=used
by ^in++++=by
classroom ^nn++++=classroom
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
supported ^xvbn+++xvbn+=supported
by ^in++++=by
a ^at++++=a
theoretical ^jj+atrb+++=theoretical
model ^nn++++=model
of ^in++++=of
emotional ^jj+atrb+++=emotional
regulation ^nn+nom+++=regulation
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
figure ^nn++++=Figure
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
