Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
35 ^cd++++=35-80
- ^zz++++=EXTRAWORD
80 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
15 ^cd++++=15-50
- ^zz++++=EXTRAWORD
50 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
brown ^jj++++=brown
proximally ^rb+cnj+++=proximally,
, ^zz++++=EXTRAWORD
stramineous ^jj++++=stramineous
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
abaxially ^rb++++=abaxially
terete ^jj+++??+=terete,
, ^zz++++=EXTRAWORD
adaxially ^rb++++=adaxially
flattened ^vbd+++xvbn+=flattened,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
with ^in++++=with
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
acuminate ^nn+nom+++=acuminate
scales ^nns++++=scales;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
20 ^cd++++=20-35cm
- ^zz++++=EXTRAWORD
35cm ^cd++++=EXTRAWORD
long ^jj++++=long,
, ^zz++++=EXTRAWORD
2 ^zz++++=2-pinnate
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
or ^cc++++=or
rarely ^rb++++=rarely
1or ^cd++++=1or
3 ^zz++++=3-pinnate;
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
not ^xnot++not++=not
winged ^jj++++=winged,
, ^zz++++=EXTRAWORD
stramineous ^jj++++=stramineous,
, ^zz++++=EXTRAWORD
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
12 ^cd++++=12-25
- ^zz++++=EXTRAWORD
25 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
1 ^zz++++=1-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
pinnules ^nns+++??+=pinnules
short ^jj++++=short-petiolate,
- ^zz++++=EXTRAWORD
petiolate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dimidiate ^nn+nom+++=dimidiate
or ^cc++++=or
flabellate ^nn+nom+++=flabellate,
, ^zz++++=EXTRAWORD
to ^to++++=to
1 ^zz++++=1
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
the ^ati++++=the
veins ^nns++++=veins
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
sori ^jj+++??+=sori
interrupted ^jj+++xvbn+=interrupted,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
at ^rb++++=at
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
multiple ^jj+atrb+++=multiple
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn++++=indusia
membranaceous ^jj++++=membranaceous,
, ^zz++++=EXTRAWORD
the ^ati++++=the
margins ^nns++++=margins
dentate ^nn+nom+++=dentate,
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous.
. ^zz++++=EXTRAWORD
