Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial,
, ^zz++++=EXTRAWORD
ticket ^nn++++=ticket-forming.
- ^zz++++=EXTRAWORD
forming ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
long ^jj++++=long-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
ciliform ^nn+++??+=ciliform
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
1.54.5m ^cd++++=1.54.5m
long ^jj++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
0.75 ^nn+++??+=0.75-2.5
- ^zz++++=EXTRAWORD
2.5 ^cd++++=EXTRAWORD
m ^zz++++=m
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
stramineous ^jj++++=stramineous
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
0.75 ^nn+++??+=0.75-2.5m
- ^zz++++=EXTRAWORD
2.5m ^cd++++=EXTRAWORD
m ^zz++++=m
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
3 ^zz++++=3-4-pinnate-pinnatifid;
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnatifid ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
stramineous ^jj++++=stramineous,
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
60 ^cd++++=60-100
- ^zz++++=EXTRAWORD
100 ^cd++++=EXTRAWORD
25 ^cd++++=25-70cm,
- ^zz++++=EXTRAWORD
70cm ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
equilateral ^jj++++=equilateral;
; ^zz++++=EXTRAWORD
pinnae ^nn+++??+=pinnae
and ^cc++++=and
pinnules ^nns+++??+=pinnules
distally ^rb++++=distally
with ^in++++=with
free ^jj+atrb+++=free
lobes ^nns++++=lobes
between ^in++++=between
the ^ati++++=the
segments ^nns+nom+++=segments;
; ^zz++++=EXTRAWORD
compound ^nn++++=compound
distal ^jj+atrb+++=distal
segments ^nns+nom+++=segments
inequilateral ^nn+nom+++=inequilateral,
, ^zz++++=EXTRAWORD
irregularly ^jj++++=irregularly
dissected ^jj+++xvbn+=dissected,
, ^zz++++=EXTRAWORD
caudate ^nn+nom+++=caudate
at ^rb++++=at
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
simple ^jj+atrb+++=simple
distal ^jj+atrb+++=distal
segments ^nns+nom+++=segments
linear ^jj++++=linear,
, ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
3( ^cd++++=3(-4)
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
abaxially ^rb++++=abaxially
with ^in++++=with
reddish ^jj+atrb+++=reddish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
costules ^nns+++??+=costules
abaxially ^rb++++=abaxially
with ^in++++=with
reddish ^jj+atrb+++=reddish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
abaxially ^rb++++=abaxially
lanose ^jj+++??+=lanose,
, ^zz++++=EXTRAWORD
with ^in++++=with
lax ^jj++++=lax,
, ^zz++++=EXTRAWORD
arachnoid ^nn+++??+=arachnoid
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
the ^ati++++=the
veins ^nns++++=veins
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
marginal ^jj++++=marginal,
, ^zz++++=EXTRAWORD
linear ^jj++++=linear,
, ^zz++++=EXTRAWORD
along ^in++++=along
segment ^nn+nom+++=segment
margins ^nns++++=margins,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
at ^rb++++=at
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
multiple ^jj+atrb+++=multiple
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn++++=indusia
vestigial ^jj++++=vestigial;
; ^zz++++=EXTRAWORD
outer ^jjb+atrb+++=outer
indusia ^nn++++=indusia
linear ^jj++++=linear.
. ^zz++++=EXTRAWORD
