Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short
to ^in++++=to
long ^jj++++=long-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
protostelic ^jj++++=protostelic
with ^in++++=with
internal ^jj+atrb+++=internal
phloem ^nn+++??+=phloem,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rarely ^rb++++=rarely
solenostelic ^jj++++=solenostelic,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
basally ^rb++++=basally
attached ^vwbn+++xvbn+=attached,
, ^zz++++=EXTRAWORD
nonclathrate ^nn+nom+++=nonclathrate
scales ^nns++++=scales
or ^cc++++=or
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
monomorphic ^jj++++=monomorphic;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
simple ^jj++++=simple
to ^to++++=to
3pinnate ^nn+nom+++=3pinnate
or ^cc++++=or
rarely ^rb++++=rarely
more ^rbr++++=more
dissected ^jj+++xvbn+=dissected;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
usually ^rb+down+++=usually
free ^jj++++=free,
, ^zz++++=EXTRAWORD
occasionally ^rb++++=occasionally
anastomosing ^jj+++xvbg+=anastomosing
and ^cc++++=and
then ^rn+tm+++=then
without ^in++++=without
included ^vbd+++xvbn+=included
veinlets ^nns+nom+++=veinlets;
; ^zz++++=EXTRAWORD
indument ^nn+nom+++=indument
generally ^rb+down+++=generally
absent ^jj++++=absent
or ^cc+phrs+++=or
formed ^jj+++xvbn+=formed
by ^in++++=by
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Sori ^np+++??+=Sori
marginal ^jj++++=marginal
or ^cc++++=or
submarginal ^nn+nom+++=submarginal,
, ^zz++++=EXTRAWORD
extrorse ^nn+++??+=extrorse,
, ^zz++++=EXTRAWORD
elongate ^nn+nom+++=elongate
to ^in++++=to
linear ^jj++++=linear,
, ^zz++++=EXTRAWORD
protected ^xvbn+++xvbn+=protected
by ^in++++=by
outer ^jjb++++=outer
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
modified ^vbd+++xvbn+=modified)
) ^zz++++=EXTRAWORD
and ^cc++++=and
inner ^jjb++++=inner
( ^zz++++=(modified)
modified ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
indusia ^nn+++??+=indusia;
; ^zz++++=EXTRAWORD
spores ^nns+++??+=spores
tetrahedral ^jj++++=tetrahedral
and ^cc++++=and
trilete ^nn+++??+=trilete,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rarely ^rb++++=rarely
bilateral ^jj++++=bilateral
and ^cc++++=and
monolete ^nn++++=monolete
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
