Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
in ^in++++=in
W ^zz++++=W.
. ^zz++++=EXTRAWORD
cyathiformis ^nns+++??+=cyathiformis
( ^zz++++=(table
table ^nn++++=EXTRAWORD
4 ^zz++++=4),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
leaves ^nns++++=leaves
of ^in++++=of
bromeliads ^nns+++??+=bromeliads
transplanted ^vbd+++xvbn+=transplanted
as ^in++++=as
terricolous ^jj++++=terricolous
or ^cc++++=or
epiphytic ^nn++++=epiphytic
did ^vbd+dod+aux++=did
not ^xnot++not++=not
differ ^vb++++=differ
significantly ^rb++++=significantly
( ^zz++++=(p
p ^zz++++=EXTRAWORD
> ^zz++++=>
0.05 ^nn+++??+=0.05)
) ^zz++++=EXTRAWORD
in ^in++++=in
different ^nn++++=different
observed ^vbd+vprv++xvbn+=observed
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
leaves ^vbz++++=leaves
does ^vbz+doz+aux++=does
not ^xnot++not++=not
depend ^vb++++=depend
on ^in++++=on
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
relocation ^nn+nom+++=relocation,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
also ^rb++++=also
noted ^vbd+vprv++xvbn+=noted
for ^in++++=for
A ^at++++=A.
. ^zz++++=EXTRAWORD
distichantha ^nn+++??+=distichantha.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
leaves ^nns++++=leaves
of ^in++++=of
W ^zz++++=W.
. ^zz++++=EXTRAWORD
cyathiformis ^vbz+++??+=cyathiformis
decreased ^vprf+++xvbn+=decreased
significantly ^rb++++=significantly
( ^zz++++=(p
p ^zz++++=EXTRAWORD
> ^zz++++=>
0.05 ^nn+++??+=0.05)
) ^zz++++=EXTRAWORD
from ^in++++=from
252 ^cd++++=252
days ^nns++++=days
onwards ^rb++++=onwards
and ^cc++++=and
remained ^vbd+++xvbn+=remained
constant ^jj++++=constant
until ^in++++=until
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
experiment ^nn+nom+++=experiment.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
behavior ^nn++++=behavior
probably ^rb++++=probably
shows ^vbz+vprv+tht0++=shows
those ^dt+dem+++=those
bromeliads ^nns+++??+=bromeliads
could ^md+pos+++=could
have ^vb+hv+vrb++=have
an ^at++++=an
abiotic ^jj+atrb+++=abiotic
water ^nn++++=water
and ^cc++++=and
nutritional ^jj+atrb+++=nutritional
stress ^nn++++=stress
when ^wrb+who+++=when
relocated ^jj++++=relocated.
. ^zz++++=EXTRAWORD
