To ^to++++=To
overcome ^vbi++++=overcome
these ^dt+dem+++=these
weaknesses ^nns+nom+++=weaknesses,
, ^zz++++=EXTRAWORD
modifications ^nns+nom+++=modifications
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
the ^ati++++=the
B ^zz++++=B-PREA
- ^zz++++=EXTRAWORD
prea ^nn+++??+=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
application ^nn+nom+++=application
more ^rbr++++=more
attractive ^jj++++=attractive,
, ^zz++++=EXTRAWORD
shorter ^jjr++++=shorter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
easier ^jjr++++=easier
for ^in++++=for
educators ^nns++++=educators
in ^in++++=in
the ^ati++++=the
preschool ^nn+++??+=preschool
educational ^jj+atrb+++=educational
context ^nn++++=context.
. ^zz++++=EXTRAWORD
In ^rb++++=In
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reviewers ^nns+nom+++=reviewers
relied ^vbd+++xvbn+=relied
on ^in++++=on
the ^ati++++=the
methodological ^jj+atrb+++=methodological
requirements ^nns+nom+++=requirements
of ^in++++=of
experts ^nns++++=experts
in ^in++++=in
early ^jj+atrb+++=early
childhood ^nn+nom+++=childhood
education ^nn+nom+++=education
in ^in++++=in
Cuba ^np++++=Cuba
( ^zz++++=(Gallo
gallo ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
subtests ^nns+++??+=subtests
of ^in++++=of
the ^ati++++=the
B ^zz++++=B-PREA
- ^zz++++=EXTRAWORD
prea ^nn+++??+=EXTRAWORD
were ^vbd+bed+aux++=were
reworked ^vpsv++agls+xvbnx+=reworked
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
needs ^nns++++=needs
of ^in++++=of
the ^ati++++=the
preschool ^nn+++??+=preschool
curriculum ^nn++++=curriculum:
: ^zz++++=EXTRAWORD
to ^to++++=to
perform ^vbi++++=perform
the ^ati++++=the
comprehensive ^jj+atrb+++=comprehensive
assessment ^nn+nom+++=assessment
of ^in++++=of
the ^ati++++=the
child ^nn++++=child
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
dimensions ^nns++++=dimensions
of ^in++++=of
education ^nn+nom+++=education
and ^cc++++=and
development ^nn+nom+++=development
established ^vbd+++xvbn+=established
in ^in++++=in
the ^ati++++=the
improvement ^nn+nom+++=improvement.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
relied ^vbd+++xvbn+=relied
on ^in++++=on
resolution ^nn+nom+++=resolution
238 ^cd++++=238/2014,
regulations ^nns+nom+++=regulations
for ^in++++=for
the ^ati++++=the
application ^nn+nom+++=application
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
evaluation ^nn+nom+++=evaluation
system ^nn++++=system
of ^in++++=of
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Education ^nn+nom+++=Education
in ^in++++=in
Cuba ^np++++=Cuba,
, ^zz++++=EXTRAWORD
to ^to++++=to
incorporate ^nn+nom+++=incorporate
the ^ati++++=the
subtests ^nns+++??+=subtests
of ^in++++=of
the ^ati++++=the
B ^zz++++=B-PREA
- ^zz++++=EXTRAWORD
prea ^nn+++??+=EXTRAWORD
to ^in++++=to
the ^ati++++=the
preschool ^nn+++??+=preschool
level ^nn++++=level
evaluative ^jj+atrb+++=evaluative
system ^nn++++=system,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
by ^in++++=by
applying ^xvbg+++xvbg+=applying
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
partial ^jj++++=partial
evaluative ^jj++++=evaluative
cut ^vbd+++xvbn+=cut
( ^zz++++=(four
four ^cd++++=EXTRAWORD
months ^nns++++=months
after ^in++++=after
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
year ^nn++++=year)
) ^zz++++=EXTRAWORD
or ^cc++++=or
in ^in++++=in
the ^ati++++=the
final ^jj++++=final
evaluative ^jj++++=evaluative
cut ^vbd+++xvbn+=cut
( ^zz++++=(at
at ^rb++++=EXTRAWORD
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
year ^nn++++=year).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
