While ^cs+sub+++=While
archiving ^jj+++xvbg+=archiving
is ^vbz+bez+vrb++=is
key ^jjb+pred+++=key
to ^in++++=to
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
conservation ^nn+nom+++=conservation,
, ^zz++++=EXTRAWORD
preservation ^nn+nom+++=preservation,
, ^zz++++=EXTRAWORD
accessibility ^nn+nom+++=accessibility
and ^cc++++=and
discoverability ^nn+nom+++=discoverability
of ^in++++=of
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
data ^nns++++=data,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^abn++++=all
data ^nns++++=data
are ^vb+ber+vrb++=are
equally ^rb++++=equally
appropriate ^jj+pred+++=appropriate
for ^in++++=for
archiving ^xvbg+++xvbg+=archiving,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
for ^in++++=for
archiving ^xvbg+++xvbg+=archiving
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
materials ^nns+nom+++=materials
may ^md+pos+++=may
be ^vb+be+vrb++=be
culturally ^rb++++=culturally
or ^cc+phrs+++=or
personally ^rb++++=personally
sensitive ^jj++++=sensitive
to ^in++++=to
the ^ati++++=the
point ^nn++++=point
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
simply ^rb++++=simply
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
archived ^vpsv++agls+xvbnx+=archived
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
materials ^nns+nom+++=materials
may ^md+pos+++=may
require ^vb+vsua+++=require
restricted ^jj+atrb++xvbn+=restricted
access ^nn++++=access,
, ^zz++++=EXTRAWORD
as ^in++++=as
noted ^nn++++=noted
in ^in++++=in
2.3 ^cd++++=2.3
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
such ^abl++++=such
that ^dt+dem+++=that
only ^rb+down+++=only
certain ^jj+atrb+++=certain
people ^nns++++=people
may ^md+pos+++=may
engage ^vb++++=engage
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
such ^abl++++=such
restrictions ^nns+nom+++=restrictions
may ^md+pos+++=may
pertain ^vb+++??+=pertain
in ^in++++=in
different ^jj+atrb+++=different
ways ^nns++++=ways
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
an ^at++++=an
audio ^nn+++??+=audio
file ^nn++++=file,
, ^zz++++=EXTRAWORD
a ^at++++=a
video ^nn+++??+=video
file ^nn++++=file,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
written ^jj+atrb++xvbn+=written
transcription ^nn+nom+++=transcription
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
event ^nn++++=event.
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
of ^in++++=of
potentially ^rb++++=potentially
sensitive ^jj+atrb+++=sensitive
material ^nn++++=material
include ^vb++++=include
esoteric ^jj+atrb+++=esoteric
or ^cc+phrs+++=or
protected ^jj+atrb++xvbn+=protected
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
is ^vbz+bez+aux++=is
not ^xnot++not++=not
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
shared ^vpsv++agls+xvbnx+=shared
with ^in++++=with
particular ^jj+atrb+++=particular
people ^nns++++=people
or ^cc++++=or
groups ^nns++++=groups
of ^in++++=of
people ^nns++++=people
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
community ^nn+nom+++=community
outsiders ^nns+nom+++=outsiders,
, ^zz++++=EXTRAWORD
members ^nns+nom+++=members
of ^in++++=of
other ^ap++++=other
clans ^nns++++=clans,
, ^zz++++=EXTRAWORD
men ^nns++++=men
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
women ^nns++++=women),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
personally ^rb++++=personally
damaging ^jj+atrb++xvbg+=damaging
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
information ^nn+nom+++=information
that ^tht+vcmp+subj++=that
could ^md+pos+++=could
endanger ^nn+nom+++=endanger
individuals ^nns+nom+++=individuals
or ^cc++++=or
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
Language ^nn+nom+++=Language
documentation ^nn+nom+++=documentation
and ^cc++++=and
archiving ^jj+atrb++xvbg+=archiving
calls ^nns++++=calls
for ^in++++=for
open ^jj+atrb+++=open
and ^cc+phrs+++=and
ongoing ^jj+atrb++xvbg+=ongoing
communication ^nn+nom+++=communication
among ^in++++=among
documenters ^nns+nom+++=documenters,
, ^zz++++=EXTRAWORD
speakers ^nns+nom+++=speakers/signers,
and ^cc++++=and
other ^ap++++=other
community ^nn+nom+++=community
members ^nns+nom+++=members
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
ensure ^vb+vprv+++=ensure
a ^at++++=a
fully ^rb+amp+++=fully
ethical ^jj+atrb+++=ethical
and ^cc+phrs+++=and
informed ^jj+atrb++xvbn+=informed
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
elaborate ^nn+nom+++=elaborate
in ^in++++=in
4 ^zz++++=4
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
