Doebel ^np+++??+=Doebel
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
as ^ql++++=as
a ^at++++=a
reference ^nn+nom+++=reference
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
Miyake ^np+++??+=Miyake
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2000),
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
states ^nns++++=states
that ^tht+rel+++=that
in ^in++++=in
the ^ati++++=the
executive ^jj+atrb+++=executive
functions ^nns+nom+++=functions
three ^cd++++=three
basic ^jj+atrb+++=basic
cognitive ^nn++++=cognitive
functions ^nns+nom+++=functions
are ^vb+ber+aux++=are
distinguished ^vpsv++agls+xvbnx+=distinguished:
: ^zz++++=EXTRAWORD
inhibitory ^nn++++=inhibitory
control ^nn++++=control,
, ^zz++++=EXTRAWORD
working ^jj+atrb++xvbg+=working
memory ^nn++++=memory
and ^cc++++=and
cognitive ^jj+atrb+++=cognitive
flexibility ^nn+nom+++=flexibility,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
higher ^jjr+atrb+++=higher
executive ^jj+atrb+++=executive
functions ^nns+nom+++=functions
such ^abl++++=such
as ^ql++++=as
planning ^jj+++xvbg+=planning
and ^cc++++=and
problem ^nn++++=problem
solving ^vwbg+++xvbg+=solving
are ^vb+ber+aux++=are
derived ^vpsv++agls+xvbnx+=derived
( ^zz++++=(Zelazo,
zelazo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+dem+++=this
classification ^nn+nom+++=classification,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visual ^jj+atrb+++=visual
selective ^jj+atrb+++=selective
attention ^nn+nom+++=attention
subtest ^jjt++++=subtest
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
task ^nn++++=task
that ^tht+rel+subj++=that
could ^md+pos+++=could
cause ^vb++++=cause
the ^ati++++=the
least ^rbt++++=least
doubt ^nn++++=doubt
in ^in++++=in
this ^dt+dem+++=this
factor ^nn++++=factor;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
subtests ^nns+++??+=subtests
matrices ^nns++++=matrices,
, ^zz++++=EXTRAWORD
story ^nn++++=story
comprehension ^nn++++=comprehension,
, ^zz++++=EXTRAWORD
graphomotor ^nn++++=graphomotor
skills ^nns++++=skills
and ^cc++++=and
counting ^nvbg+++xvbg+=counting
quantities ^nns+nom+++=quantities
have ^vb+hv+vrb++=have
a ^at++++=a
common ^jj+atrb+++=common
element ^nn+nom+++=element:
: ^zz++++=EXTRAWORD
planning ^nvbg+++xvbg+=planning
and ^cc++++=and
problem ^nn++++=problem
solving ^vwbg+++xvbg+=solving,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
turn ^nn++++=turn
includes ^vb++++=includes
cognitive ^jj+atrb+++=cognitive
flexibility ^nn+nom+++=flexibility
and ^cc++++=and
working ^jj+atrb+++=working
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
