The ^ati++++=The
necessary ^jj+atrb+++=necessary
inclusion ^nn++++=inclusion
of ^in++++=of
Ict ^np+++??+=ICT
in ^in++++=in
education ^nn+nom+++=education
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
denied ^vpsv++agls+xvbnx+=denied
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
cultural ^jj+atrb+++=cultural
role ^nn++++=role
in ^in++++=in
today ^nr+tm+++=today's
's ^$++++=EXTRAWORD
society ^nn++++=society.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
more ^rbr++++=more
relevant ^jj+pred+++=relevant
to ^to++++=to
include ^vbi++++=include
them ^pp3o+pp3+++=them
using ^jj+++xvbg+=using
critical ^jj+atrb+++=critical
pedagogical ^jj+atrb+++=pedagogical
approaches ^nns++++=approaches
that ^tht+rel+subj++=that
consider ^nn+nom+++=consider
their ^pp$+pp3+++=their
socio ^nn+++??+=socio-historical
- ^zz++++=EXTRAWORD
historical ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
cultural ^jj+atrb+++=cultural
aspects ^nns++++=aspects
for ^in++++=for
broad ^jj+atrb+++=broad
human ^jj+atrb+++=human
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
Otherwise ^rb+cnj+++=Otherwise,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
contributes ^vbz++++=contributes,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
digital ^jj+atrb+++=digital
exclusion ^nn++++=exclusion
cycle ^nn++++=cycle
for ^in++++=for
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
populations ^nns+nom+++=populations
especially ^rb+cnj+++=especially,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
maintains ^vbz+vpub+++=maintains
the ^ati++++=the
space ^nn++++=space
already ^rb++++=already
well ^rb++++=well
occupied ^vpsv++by+xvbn+=occupied
by ^in++++=by
instrumental ^jj++++=instrumental
and ^cc+phrs+++=and
deterministic ^jj+atrb+++=deterministic
pedagogical ^jj+atrb+++=pedagogical
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
contributing ^vbg+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
consolidation ^nn+nom+++=consolidation
of ^in++++=of
these ^dt+dem+++=these
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
denying ^xvbg+++xvbg+=denying
the ^ati++++=the
integration ^nn+nom+++=integration
of ^in++++=of
Dict ^np+++??+=DICT
in ^in++++=in
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
continues ^vbz++++=continues
to ^to++++=to
exclude ^vbi++++=exclude
people ^nns++++=people
and ^cc++++=and
generates ^nns+nom+++=generates
even ^rb++++=even
more ^rbr++++=more
exclusion ^nn++++=exclusion,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
strive ^vbi++++=strive
for ^in++++=for
conditions ^nns+nom+++=conditions
of ^in++++=of
excellence ^nn+nom+++=excellence
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
appropriate ^jj+atrb+++=appropriate
human ^jj+atrb+++=human
resources ^nns++++=resources
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
qualify ^vb++++=qualify
teaching ^nn++++=teaching.
. ^zz++++=EXTRAWORD
