Rhizomes ^np+++??+=Rhizomes
erect ^jj++++=erect
or ^cc++++=or
rarely ^rb++++=rarely
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
forming ^jj+atrb++xvbg+=forming
small ^jj+atrb+++=small
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
dictyostelic ^jj++++=dictyostelic,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
peltate ^nn+nom+++=peltate
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
monomorphic ^jj++++=monomorphic;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
with ^in++++=with
an ^at++++=an
omega ^nn+++??+=omega-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
vascular ^nn+++??+=vascular
strand ^npl++++=strand;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
1 ^zz++++=1-4-pinnate;
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
free ^jj++++=free;
; ^zz++++=EXTRAWORD
indument ^nn+nom+++=indument
formed ^vwbn+++xvbn+=formed
by ^in++++=by
caduceus ^nns+++??+=caduceus
scales ^nns++++=scales
or ^cc++++=or
rarely ^rb++++=rarely
by ^in++++=by
scattered ^xvbn+++xvbn+=scattered
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Sori ^np+++??+=Sori
marginal ^jj++++=marginal
or ^cc++++=or
submarginal ^nn+nom+++=submarginal,
, ^zz++++=EXTRAWORD
discrete ^jj++++=discrete,
, ^zz++++=EXTRAWORD
extrorse ^nn+++??+=extrorse,
, ^zz++++=EXTRAWORD
protected ^xvbn+++xvbn+=protected
by ^in++++=by
outer ^jjb++++=outer
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
modified ^vbd+++xvbn+=modified)
) ^zz++++=EXTRAWORD
and ^cc++++=and
inner ^jjb++++=inner
( ^zz++++=(modified)
modified ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
indusia ^nn+++??+=indusia;
; ^zz++++=EXTRAWORD
spores ^nns+++??+=spores
tetrahedral ^jj++++=tetrahedral-globose
- ^zz++++=EXTRAWORD
globose ^nn+++??+=EXTRAWORD
and ^cc++++=and
trilete ^nn++++=trilete
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
