Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
thousands ^cds++++=thousands
of ^in++++=of
journals ^nns+nom+++=journals
that ^tht+rel+subj++=that
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
metadata ^nn+++??+=metadata
at ^rb++++=at
the ^ati++++=the
document ^nn+nom+++=document
level ^nn++++=level.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
affects ^vbz++++=affects
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
analyzing ^xvbg+++xvbg+=analyzing
the ^ati++++=the
production ^nn+nom+++=production
published ^vbd+++xvbn+=published
in ^in++++=in
Latindex ^np+++??+=Latindex
journals ^nns+nom+++=journals
which ^whp+rel+subj++=which
continues ^vbz++++=continues
to ^to++++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Miguel ^np++++=Miguel
already ^rb++++=already
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cataloging ^jj+atrb++xvbg+=cataloging
database ^nn+++??+=database
with ^in++++=with
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
coverage ^nn+nom+++=coverage.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
standardization ^nn+nom+++=standardization
of ^in++++=of
institutional ^jj+atrb+++=institutional
affiliations ^nns+nom+++=affiliations,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
of ^in++++=of
the ^ati++++=the
disciplinary ^nn+nom+++=disciplinary
classification ^nn+nom+++=classification
of ^in++++=of
journals ^nns+nom+++=journals;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
is ^vbz+bez+vrb++=is
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
unique ^jj+atrb+++=unique
identifiers ^nns+nom+++=identifiers
of ^in++++=of
authors ^nns++++=authors
and ^cc++++=and
institutions ^nns+nom+++=institutions
such ^abl++++=such
as ^ql++++=as
Orcid ^np+++??+=ORCID
and ^cc++++=and
Ror ^np+++??+=ROR
sufficiently ^rb++++=sufficiently
widespread ^jj++++=widespread
among ^in++++=among
the ^ati++++=the
different ^jj+atrb+++=different
databases ^nns+++??+=databases.
. ^zz++++=EXTRAWORD
All ^abn++++=All
these ^dt+dem+++=these
further ^jjb+atrb+++=further
limit ^nn++++=limit
studies ^nns++++=studies
at ^in++++=at
the ^ati++++=the
document ^nn+nom+++=document
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
large ^jj+atrb+++=large
corpus ^nn++++=corpus
of ^in++++=of
documents ^nns+nom+++=documents
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbn+=observed
from ^in++++=from
fragmented ^xvbn+++xvbn+=fragmented
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
