Many ^ap++++=Many
downstream ^rb+pl+++=downstream
analyses ^nns++++=analyses
do ^vb+do+aux++=do
not ^xnot++not++=not
require ^vb+vsua+++=require
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn+nom+++=EXTRAWORD
assemblies ^nns++++=assemblies,
, ^zz++++=EXTRAWORD
e.g ^rb++++=e.g.
. ^zz++++=EXTRAWORD
one ^cd1++++=one
can ^md+pos+++=can
identify ^vb++++=identify
the ^ati++++=the
species ^nn++++=species
of ^in++++=of
a ^at++++=a
genome ^nn+++??+=genome
or ^cc++++=or
the ^ati++++=the
presence ^nn+nom+++=presence/absence
of ^in++++=of
a ^at++++=a
gene ^np++++=gene
using ^vwbg+++xvbg+=using
a ^at++++=a
crude ^jj+atrb+++=crude
assembly3 ^nn+++??+=assembly3.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
tasks ^nns++++=tasks
which ^whp+rel+subj++=which
require ^vb+vsua+++=require
extreme ^jj+atrb+++=extreme
accuracy ^nn+nom+++=accuracy,
, ^zz++++=EXTRAWORD
e.g ^rb++++=e.g.
. ^zz++++=EXTRAWORD
estimating ^vbg+++xvbg+=estimating
mutation ^nn+nom+++=mutation
rates ^nns++++=rates
and ^cc++++=and
inferring ^vbg+++xvbg+=inferring
transmission ^nn++++=transmission
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
even ^rb++++=even
a ^at++++=a
small ^jj+atrb+++=small
number ^nn++++=number
of ^in++++=of
errors ^nns++++=errors
can ^md+pos+++=can
have ^vb+hv+vrb++=have
consequences ^nns+nom+++=consequences.
. ^zz++++=EXTRAWORD
Perfect ^jj+atrb+++=Perfect
assemblies ^nns++++=assemblies
offer ^nn++++=offer
no ^at++++=no
limits ^nns++++=limits
on ^in++++=on
their ^pp$+pp3+++=their
downstream ^rb+pl+++=downstream
uses ^nns++++=uses,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
assembly ^nn++++=assembly
good ^jj++++=good
enough ^dt++++=enough?
? ^zz++++=EXTRAWORD
an ^at++++=an
irrelevant ^jj+atrb+++=irrelevant
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
assembly ^nn++++=assembly
errors ^nns++++=errors,
, ^zz++++=EXTRAWORD
many ^ap++++=many
analyses ^nns++++=analyses
which ^whp+rel+subj++=which
involve ^vb++++=involve
interrogating ^xvbg+++xvbg+=interrogating
reads ^vbz++++=reads
directly ^rb++++=directly
( ^zz++++=(using
using ^vbg+++xvbg+=EXTRAWORD
computationally ^rb++++=computationally
intensive ^jj+atrb+++=intensive
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
e.g ^rb++++=e.g.
. ^zz++++=EXTRAWORD
variant ^jj++++=variant
calling ^jj+++xvbg+=calling)
) ^zz++++=EXTRAWORD
could ^md+pos+++=could
be ^vb+be+aux++=be
replaced ^vpsv++by+xvbn+=replaced
by ^in++++=by
simpler ^jjr+atrb+++=simpler
assembly ^nn++++=assembly-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
alternatives ^nns++++=alternatives.
. ^zz++++=EXTRAWORD
