More ^rbr++++=More
than ^in++++=than
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Dict ^np+++??+=DICT
by ^in++++=by
Brazilians ^np+++??+=Brazilians
is ^vbz+bez+aux++=is
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
everyday ^jjb++++=everyday
uses ^nns++++=uses,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
restricted ^jj+++xvbn+=restricted
to ^in++++=to
communication ^nn+nom+++=communication
by ^in++++=by
instant ^jj+atrb+++=instant
messages ^nns+nom+++=messages
and ^cc++++=and
posting ^vbg+++xvbg+=posting
on ^in++++=on
social ^jj+atrb+++=social
networks ^nns++++=networks
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019a ^cd++++=2019a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
of ^in+emph+++=of
course ^nn+emph"+++=course
is ^vbz+bez+aux++=is
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
cell ^nn++++=cell
phones ^nns++++=phones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
such ^abl++++=such
does ^vbz+doz+aux++=does
not ^xnot++not++=not
guarantee ^nn+nom+++=guarantee
sufficient ^jj++++=sufficient
technical ^jj++++=technical
understanding ^jj+++xvbg+=understanding
for ^in++++=for
the ^ati++++=the
intellectual ^jj+atrb+++=intellectual
and ^cc+phrs+++=and
integral ^jj+atrb+++=integral
development ^nn+nom+++=development
of ^in++++=of
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
not ^xnot++not++=not
to ^to++++=to
take ^vbi++++=take
access ^nn++++=access
to ^in++++=to
cell ^nn++++=cell
phones ^nns++++=phones
as ^in++++=as
an ^at++++=an
indication ^nn+nom+++=indication
of ^in++++=of
growth ^nn++++=growth
and ^cc++++=and
evolution ^nn+nom+++=evolution
in ^in++++=in
the ^ati++++=the
mastering ^nn++++=mastering
of ^in++++=of
It ^pp3+it+++=IT,
, ^zz++++=EXTRAWORD
much ^ap++++=much
less ^rbr++++=less
considering ^vbg+++xvbg+=considering
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
knowledge ^nn++++=knowledge
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
about ^in++++=about
their ^pp$+pp3+++=their
functions ^nns+nom+++=functions.
. ^zz++++=EXTRAWORD
