The ^ati++++=The
goal ^nn++++=goal
of ^in++++=of
long ^jj++++=long-read
- ^zz++++=EXTRAWORD
read ^vb+vprv+tht0+xvbn+=EXTRAWORD
assembly ^nn++++=assembly
is ^vbz+bez+aux++=is
to ^to++++=to
produce ^vbi++++=produce
complete ^jj+atrb+++=complete
sequences ^nns+nom+++=sequences
with ^in++++=with
no ^at++++=no
structural ^jj+atrb+++=structural
errors ^nns++++=errors,
, ^zz++++=EXTRAWORD
i.e ^rb++++=i.e.
. ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
errors ^nns++++=errors
in ^in++++=in
the ^ati++++=the
assembly ^nn++++=assembly
should ^md+nec+++=should
be ^vb+be+vrb++=be
small ^jj+pred+++=small-scale,
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
e.g ^rb++++=e.g.
. ^zz++++=EXTRAWORD
single ^jj++++=single-bp
- ^zz++++=EXTRAWORD
bp ^nn+++??+=EXTRAWORD
substitutions ^nns+nom+++=substitutions,
, ^zz++++=EXTRAWORD
insertions ^nns+nom+++=insertions
or ^cc++++=or
deletions ^nns+nom+++=deletions.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
later ^rbr+tm+++=later
polishing ^nvbg+++xvbg+=polishing
steps ^nns++++=steps
can ^md+pos+++=can
repair ^vb++++=repair
small ^jj++++=small-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
errors ^nns++++=errors
but ^cc++++=but
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
fix ^vb++++=fix
larger ^jjr+atrb+++=larger
structural ^jj+atrb+++=structural
errors ^nns++++=errors.
. ^zz++++=EXTRAWORD
