As ^in++++=As
far ^in"+pl+++=far
as ^in"++++=as
criticism ^nn+nom+++=criticism
is ^vbz+bez+aux++=is
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
Ict ^np+++??+=ICT
made ^vbd+++xvbn+=made
possible ^jj++++=possible
the ^ati++++=the
investigation ^nn+nom+++=investigation
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
things ^nns++++=things,
, ^zz++++=EXTRAWORD
the ^ati++++=the
experience ^nn+nom+++=experience
and ^cc++++=and
beliefs ^nns++++=beliefs
of ^in++++=of
members ^nns+nom+++=members
of ^in++++=of
this ^dt+dem+++=this
global ^jj+atrb+++=global
discourse ^nn++++=discourse
community ^nn+nom+++=community
concerning ^in++++=concerning
the ^ati++++=the
conduct ^nn++++=conduct
and ^cc++++=and
sharing ^nvbg+++xvbg+=sharing
of ^in++++=of
research ^nn++++=research
in ^in++++=in
computer ^nn+nom+++=computer
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
Results ^nns++++=Results
helped ^vbd+++xvbn+=helped
the ^ati++++=the
teacher ^nn++++=teacher/researcher
understand ^vb+vprv+++=understand
the ^ati++++=the
causes ^nns++++=causes
of ^in++++=of
the ^ati++++=the
contextual ^jj+atrb+++=contextual
specificities ^nns+nom+++=specificities
identified ^vwbn+++xvbn+=identified,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
influence ^nn+nom+++=influence
on ^in++++=on
the ^ati++++=the
engagement ^nn+nom+++=engagement
of ^in++++=of
brazilian ^jj+atrb+++=Brazilian
researchers ^nns+nom+++=researchers
with ^in++++=with
international ^jj+atrb+++=international
peers ^nns++++=peers.
. ^zz++++=EXTRAWORD
