Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
30 ^cd++++=30-50
- ^zz++++=EXTRAWORD
50 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
15 ^cd++++=15-25
- ^zz++++=EXTRAWORD
25 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
brown ^jj++++=brown
proximally ^rb+cnj+++=proximally,
, ^zz++++=EXTRAWORD
stramineous ^jj++++=stramineous
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
quadrangular ^nn+++??+=quadrangular,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
with ^in++++=with
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
acuminate ^nn+nom+++=acuminate
scales ^nns++++=scales
and ^cc++++=and
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
15 ^cd++++=15-25
- ^zz++++=EXTRAWORD
25 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
2pinnate ^nn+nom+++=2pinnate;
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
not ^xnot++not++=not
winged ^jj++++=winged,
, ^zz++++=EXTRAWORD
stramineous ^jj++++=stramineous,
, ^zz++++=EXTRAWORD
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
10 ^cd++++=10-15cm
- ^zz++++=EXTRAWORD
15cm ^cd++++=EXTRAWORD
2.5 ^cd++++=2.5-3.5cm
- ^zz++++=EXTRAWORD
3.5cm ^cd++++=EXTRAWORD
equilateral ^nn+nom+++=equilateral;
; ^zz++++=EXTRAWORD
pinnules ^nns+++??+=pinnules
petiolulate ^nn+nom+++=petiolulate,
, ^zz++++=EXTRAWORD
dimidiate ^nn+nom+++=dimidiate,
, ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
with ^in++++=with
sparse ^nn+++??+=sparse
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
the ^ati++++=the
veins ^nns++++=veins
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
continuous ^jj++++=continuous,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
at ^rb++++=at
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
multiple ^jj+atrb+++=multiple
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn+++??+=indusia
membranaceous ^jj++++=membranaceous
to ^in++++=to
papyraceous ^jj++++=papyraceous,
, ^zz++++=EXTRAWORD
the ^ati++++=the
margins ^nns++++=margins
entire ^jjb++++=entire,
, ^zz++++=EXTRAWORD
wavy ^jj++++=wavy,
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous.
. ^zz++++=EXTRAWORD
