Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
evolution ^nn+nom+++=evolution
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
shows ^nns++++=shows
two ^cd++++=two
significant ^jj+atrb+++=significant
increases ^nns++++=increases,
, ^zz++++=EXTRAWORD
one ^pn++++=one
in ^in++++=in
19982000 ^cd++++=19982000
and ^cc++++=and
another ^dt++++=another
in ^in++++=in
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
the ^ati++++=the
years ^nns++++=years
when ^wrb+who+++=when
Scielo ^np+++??+=SciELO
and ^cc++++=and
Redalyc ^np+++??+=Redalyc
were ^vbd+bed+aux++=were
launched ^vpsv++agls+xvbnx+=launched.
. ^zz++++=EXTRAWORD
The ^ati++++=The
journals ^nns+nom+++=journals
published ^vbd+++xvbn+=published
in ^in++++=in
Brazil ^np++++=Brazil
make ^vb++++=make
a ^at++++=a
significant ^jj+atrb+++=significant
contribution ^nn+nom+++=contribution
because ^cs+cos+++=because
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
jump ^nn++++=jump
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
journals ^nns+nom+++=journals
precisely ^rb++++=precisely
in ^in++++=in
1998 ^cd+date+++=1998.
. ^zz++++=EXTRAWORD
The ^ati++++=The
curve ^nn++++=curve
continues ^vbz++++=continues
its ^pp$+it+++=its
upward ^jjb+atrb+++=upward
trend ^nn++++=trend,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
198 ^cd++++=198
journals ^nns+nom+++=journals
in ^in++++=in
2004 ^cd++++=2004
and ^cc++++=and
324 ^cd++++=324
in ^in++++=in
2005 ^cd++++=2005.
. ^zz++++=EXTRAWORD
The ^ati++++=The
curves ^nns++++=curves
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
six ^cd++++=six
countries ^nns++++=countries
with ^in++++=with
significant ^jj+atrb+++=significant
publishing ^jj+atrb++xvbg+=publishing
activity ^nn+nom+++=activity
also ^rb++++=also
show ^vb+vprv+++=show
a ^at++++=a
similar ^jj+atrb+++=similar
trend ^nn++++=trend,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
less ^ql++++=less
pronounced ^jj+++xvbn+=pronounced
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
Brazil ^np++++=Brazil
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
big ^jj+atrb+++=big
increase ^nn++++=increase
occurs ^vbz++++=occurs
two ^cd++++=two
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
between ^in++++=between
1999 ^cd+date+++=1999
and ^cc++++=and
2000 ^cd++++=2000
when ^wrb+who+++=when
Scielo ^np+++??+=SciELO
began ^vbd+++xvbn+=began
to ^to++++=to
more ^vbi++++=more
actively ^rb++++=actively
promote ^vb++++=promote
itself ^ppl++++=itself
outside ^in+cmpx+++=outside
of ^in"++++=of
its ^pp$+it+++=its
country ^nn++++=country
of ^in++++=of
origin ^nn++++=origin
( ^zz++++=(Brazil).
brazil ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
for ^in++++=for
Mexico ^np++++=Mexico
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
23 ^cd++++=23
journals ^nns+nom+++=journals
in ^in++++=in
1996 ^cd+date+++=1996
and ^cc++++=and
87 ^cd++++=87
in ^in++++=in
2000 ^cd++++=2000.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
pronounced ^jj+atrb++xvbn+=pronounced
increase ^nn++++=increase
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
for ^in++++=for
the ^ati++++=the
journals ^nns+nom+++=journals
edited ^vbd+++xvbn+=edited
in ^in++++=in
Colombia ^np+++??+=Colombia
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
period ^nn++++=period,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
journals ^nns+nom+++=journals
goes ^vbz++++=goes
from ^in++++=from
4 ^zz++++=4
to ^to++++=to
35 ^cd++++=35.
. ^zz++++=EXTRAWORD
