The ^ati++++=The
necessary ^jj+atrb+++=necessary
conditions ^nns+nom+++=conditions
are ^vb+ber+vrb++=are
insufficient ^jj+pred+++=insufficient,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools
and ^cc++++=and
in ^in++++=in
households ^nns++++=households
in ^in++++=in
classes ^nns++++=classes
D ^zz++++=D
and ^cc++++=and
E ^zz++++=E,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
attend ^vb++++=attend
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
school ^nn++++=school.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
Brazilian ^jj+atrb+++=Brazilian
public ^nn++++=public
schools ^nns++++=schools
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
human ^jj+atrb+++=human
or ^cc+phrs+++=or
technological ^jj+atrb+++=technological
resources ^nns++++=resources
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
teaching ^xvbg+++xvbg+=teaching
permeated ^vpsv++by+xvbn+=permeated
by ^in++++=by
Ict ^np+++??+=ICT,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
in ^in++++=in
person ^nn++++=person
or ^cc++++=or
at ^in++++=at
a ^at++++=a
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
In ^in++++=In
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
can ^md+pos+++=can
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
even ^rb++++=even
during ^in++++=during
the ^ati++++=the
pandemic ^jj+atrb+++=pandemic
period ^nn++++=period,
, ^zz++++=EXTRAWORD
amounts ^nns++++=amounts
only ^rb+down+++=only
to ^in++++=to
the ^ati++++=the
delivery ^nn+nom+++=delivery
of ^in++++=of
materials ^nns+nom+++=materials
sent ^vwbn+++xvbn+=sent
by ^in++++=by
different ^jj+atrb+++=different
messaging ^jj+atrb++xvbg+=messaging
applications ^nns+nom+++=applications.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
students ^nns++++=students
do ^vb+do+vrb++=do
the ^ati++++=the
tasks ^nns++++=tasks
and ^cc++++=and
return ^nn++++=return
them ^pp3o+pp3+++=them
using ^vbg+++xvbg+=using
the ^ati++++=the
same ^ap++++=same
devices ^nns++++=devices.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
distance ^nn+nom+++=distance
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
possible ^jj++++=possible
under ^in++++=under
these ^dt+dem+++=these
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
discourse ^nn++++=discourse
of ^in++++=of
flexibility ^nn+nom+++=flexibility
and ^cc++++=and
advantages ^nns+nom+++=advantages
of ^in++++=of
distance ^nn+nom+++=distance
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
of ^in++++=of
using ^xvbg+++xvbg+=using
devices ^nns++++=devices
in ^rb++++=in
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
used ^md"++pmd"++=used
to ^to++++=to
convince ^vb++++=convince
people ^nns++++=people,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
in ^in++++=in
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
online ^nn+++??+=online
education ^nn+nom+++=education
guided ^vwbn+++xvbn+=guided
by ^in++++=by
interaction ^nn+nom+++=interaction
and ^cc++++=and
integral ^jj+atrb+++=integral
training ^nn++++=training,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
by ^in++++=by
authors ^nns++++=authors
( ^zz++++=(Costa
costa ^np++++=EXTRAWORD
& ^zz++++=&
Lib ^np+++??+=Lib
neo ^np++++=neo,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
since ^in++++=since
before ^in++++=before
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
