Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
erect ^vb++++=erect
to ^in++++=to
decumbent ^jj++++=decumbent,
, ^zz++++=EXTRAWORD
stout ^jj++++=stout
to ^in++++=to
trunk ^nn++++=trunk-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
1.22.2 ^cd++++=1.22.2
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
petioles ^nns+++??+=petioles
proximally ^rb++++=proximally
burgundy ^np++++=burgundy,
, ^zz++++=EXTRAWORD
stramineous ^jj++++=stramineous
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
40 ^cd++++=40-80
- ^zz++++=EXTRAWORD
80 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
wrinkled ^vwbn+++xvbn+=wrinkled
to ^in++++=to
minutely ^rb++++=minutely
spiny ^jj+++??+=spiny;
; ^zz++++=EXTRAWORD
petiolar ^nn+++??+=petiolar
scales ^nns++++=scales
peltate ^nn+nom+++=peltate,
, ^zz++++=EXTRAWORD
blackish ^jj++++=blackish,
, ^zz++++=EXTRAWORD
with ^in++++=with
or ^cc++++=or
without ^in++++=without
lighter ^jjr++++=lighter,
, ^zz++++=EXTRAWORD
dentate ^nn+nom+++=dentate
margins ^nns++++=margins;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
1 ^zz++++=1-pinnnate
- ^zz++++=EXTRAWORD
pinnnate ^nn+nom+++=EXTRAWORD
80 ^cd++++=80-140
- ^zz++++=EXTRAWORD
140 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
stramineous ^jj++++=stramineous,
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
15 ^cd++++=15-25
- ^zz++++=EXTRAWORD
25 ^cd++++=EXTRAWORD
2.5 ^cd++++=2.5-3.5
- ^zz++++=EXTRAWORD
3.5 ^cd++++=EXTRAWORD
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
commonly ^rb++++=commonly
1 ^zz++++=1-furcate,
- ^zz++++=EXTRAWORD
furcate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
rarely ^rb++++=rarely
simple ^jj++++=simple
or ^cc++++=or
2 ^zz++++=2
or ^cc++++=or
3 ^zz++++=3-furcate
- ^zz++++=EXTRAWORD
furcate ^nn+nom+++=EXTRAWORD
( ^zz++++=(at
at ^rb++++=EXTRAWORD
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
pinnae ^nn+++??+=pinnae),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
abaxially ^rb++++=abaxially
and ^cc+phrs+++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
marginal ^jj++++=marginal,
, ^zz++++=EXTRAWORD
discrete ^jj++++=discrete,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
at ^rb++++=at
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
single ^jj+atrb+++=single
veins ^nns++++=veins,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
side ^nn++++=side
by ^in++++=by
side ^nn++++=side,
, ^zz++++=EXTRAWORD
opening ^nvbg+++xvbg+=opening
extrorsely ^jj++++=extrorsely;
; ^zz++++=EXTRAWORD
outer ^jjb+atrb+++=outer
indusia ^nn+++??+=indusia
not ^xnot++not++=not
modified ^jj+++xvbn+=modified;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn+++??+=indusia
hemiumbonate ^nn+nom+++=hemiumbonate,
, ^zz++++=EXTRAWORD
commonly ^rb++++=commonly
forming ^jj+atrb+++=forming
wings ^nns++++=wings
connecting ^jj+atrb+++=connecting
adjacent ^jj+atrb+++=adjacent
sori ^nn++++=sori.
. ^zz++++=EXTRAWORD
