Motor ^nn++++=Motor
performance ^nn+nom+++=performance:
: ^zz++++=EXTRAWORD
Preferential ^jj+atrb+++=Preferential
hand ^nn++++=hand
for ^in++++=for
performing ^xvbg+++xvbg+=performing
actions ^nns+nom+++=actions
or ^cc++++=or
recognizing ^vbg+++xvbg+=recognizing
objects ^nns++++=objects
by ^in++++=by
touch ^nn++++=touch.
. ^zz++++=EXTRAWORD
Pencil ^nn++++=Pencil
or ^cc++++=or
color ^nn++++=color
grip ^nn++++=grip.
. ^zz++++=EXTRAWORD
Finger ^nn++++=Finger
position ^nn+nom+++=position
and ^cc++++=and
grip ^nn++++=grip
when ^wrb+who+++=when
holding ^vbg+vprv++xvbg+=holding
an ^at++++=an
object ^nn++++=object
or ^cc++++=or
performing ^jj+atrb++xvbg+=performing
actions ^nns+nom+++=actions.
. ^zz++++=EXTRAWORD
Speed ^nn++++=Speed,
, ^zz++++=EXTRAWORD
coordination ^nn+nom+++=coordination
and ^cc++++=and
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
dressing ^xvbg+++xvbg+=dressing,
, ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=eating,
, ^zz++++=EXTRAWORD
bathing ^nvbg+++xvbg+=bathing
on ^in++++=on
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own
and ^cc++++=and
performing ^jj+atrb++xvbg+=performing
physical ^jj+atrb+++=physical
education ^nn+nom+++=education
exercises ^nns++++=exercises.
. ^zz++++=EXTRAWORD
Facial ^jj+atrb+++=Facial
gestures ^nns++++=gestures
as ^ql++++=as
indicators ^nns++++=indicators
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
organs ^nns++++=organs
of ^in++++=of
language ^nn+nom+++=language:
: ^zz++++=EXTRAWORD
mimics ^nns++++=mimics,
, ^zz++++=EXTRAWORD
cheek ^nn++++=cheek
puffing ^vwbg+++xvbg+=puffing,
, ^zz++++=EXTRAWORD
laughter ^nn+nom+++=laughter
and ^cc++++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
tongue ^nn++++=tongue
to ^to++++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
make ^vb++++=make
animal ^nn++++=animal
sounds ^nns++++=sounds
or ^cc++++=or
trumpeting ^nn++++=trumpeting.
. ^zz++++=EXTRAWORD
