Rhizomes ^np+++??+=Rhizomes
generaly ^jj++++=generaly
long ^jj++++=long-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
solenostelic ^jj++++=solenostelic
or ^cc++++=or
rarely ^rb++++=rarely
dictyostelic ^jj++++=dictyostelic
or ^cc++++=or
polycyclic ^nn++++=polycyclic,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
hairs ^nns++++=hairs
or ^cc++++=or
rarely ^rb++++=rarely
with ^in++++=with
primitive ^jj+atrb+++=primitive
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
monomorphic ^jj++++=monomorphic;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
often ^rb++++=often
with ^in++++=with
epipetiolar ^nn+++??+=epipetiolar
buds ^nns++++=buds,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
with ^in++++=with
a ^at++++=a
omega ^nn+++??+=omega-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
vascular ^nn+++??+=vascular
strand ^npl++++=strand;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
2 ^zz++++=2-5-pinnate,
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
rarely ^rb++++=rarely
less ^rbr++++=less
dissected ^jj+++xvbn+=dissected;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
free ^jj++++=free
or ^cc++++=or
rarely ^rb++++=rarely
anastomosing ^jj+++xvbg+=anastomosing
and ^cc++++=and
then ^rn+tm+++=then
without ^in++++=without
included ^vbd+++xvbn+=included
veinlets ^nns+nom+++=veinlets;
; ^zz++++=EXTRAWORD
indument ^nn+nom+++=indument
formed ^vwbn+++xvbn+=formed
by ^in++++=by
hairs ^nns++++=hairs
or ^cc++++=or
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
absent ^jj++++=absent.
. ^zz++++=EXTRAWORD
Sori ^np+++??+=Sori
marginal ^jj++++=marginal
or ^cc++++=or
submarginal ^nn+nom+++=submarginal,
, ^zz++++=EXTRAWORD
linear ^jj++++=linear
or ^cc+phrs+++=or
discrete ^jj++++=discrete,
, ^zz++++=EXTRAWORD
introrse ^nn+++??+=introrse
or ^cc++++=or
extrorse ^nn+++??+=extrorse,
, ^zz++++=EXTRAWORD
protected ^xvbn+++xvbn+=protected
by ^in++++=by
outer ^jjb+atrb+++=outer
and ^cc+phrs+++=and/or
inner ^jjb+atrb+++=inner
indusia ^nn+++??+=indusia
or ^cc++++=or
rarely ^rb++++=rarely
not ^xnot++not++=not
protected ^vbd+++xvbn+=protected;
; ^zz++++=EXTRAWORD
spores ^nns+++??+=spores
tetrahedral ^jj++++=tetrahedral
and ^cc++++=and
trilete ^nn+++??+=trilete,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
reniform ^nn+++??+=reniform
and ^cc++++=and
monolete ^nn++++=monolete
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
