The ^ati++++=The
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
term ^nn++++=term
' ^zz++++='dialogic'
dialogic ^jj++++=EXTRAWORD
' ^zz++++=EXTRAWORD
tries ^vbz++++=tries
to ^to+vcmp+++=to
frame ^vbi++++=frame
the ^ati++++=the
utterances ^nns+nom+++=utterances
in ^in++++=in
which ^whp+rel+pied++=which
participants ^nns+nom+++=participants
make ^vb++++=make
significant ^jj+atrb+++=significant
contributions ^nns+nom+++=contributions
by ^in++++=by
moving ^xvbg+++xvbg+=moving
ideas ^nns++++=ideas
forward ^rb++++=forward
through ^in++++=through
critically ^rb++++=critically
taking ^vbg+++xvbg+=taking
account ^nn++++=account
of ^in++++=of
others ^aps++++=others
perspectives ^nns++++=perspectives
in ^in++++=in
building ^xvbg+++xvbg+=building
knowledge ^nn++++=knowledge
collectively ^jj++++=collectively
( ^zz++++=(Kershner,
kershner ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dowdall ^np+++??+=Dowdall,
, ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Mercer ^np++++=Mercer,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
research ^nn++++=research
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
engagement ^nn+nom+++=engagement
in ^in++++=in
dialogic ^jj+atrb+++=dialogic
talk ^nn++++=talk
was ^vbd+bedz+aux++=was
operationalised ^vpsv++by+xvbnx+=operationalised
by ^in++++=by
relatively ^rb++++=relatively
frequent ^jj+atrb+++=frequent
occurrences ^nns+nom+++=occurrences
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
dialogic ^jj+atrb+++=dialogic
codes ^nns++++=codes.
. ^zz++++=EXTRAWORD
