This ^dt+pdem+++=This
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
psychophysiology ^nn+++??+=psychophysiology
in ^in++++=in
man ^nn++++=man
can ^md+pos+++=can
take ^vb++++=take
two ^cd++++=two
directions ^nns+nom+++=directions:
: ^zz++++=EXTRAWORD
organic ^jj++++=organic
psychophysiology ^jj+++??+=psychophysiology
aimed ^jj+++xvbn+=aimed
at ^rb++++=at
explaining ^vbg+vpub++xvbg+=explaining
brain ^nn++++=brain
functioning ^vwbg+++xvbg+=functioning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
activity ^nn+nom+++=activity
psychophysiology ^jj+++??+=psychophysiology
aimed ^jj+++xvbn+=aimed
at ^rb++++=at
describing ^vbg+++xvbg+=describing
and ^cc+phrs+++=and
explaining ^vbg+vpub++xvbg+=explaining
the ^ati++++=the
mental ^jj+atrb+++=mental
processes ^nns+nom+++=processes
underlying ^vwbg+++xvbg+=underlying
human ^jj+atrb+++=human
actions ^nns+nom+++=actions.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
directions ^nns+nom+++=directions
are ^vb+ber+aux++=are
grouped ^vpsv++agls+xvbnx+=grouped
in ^in++++=in
cognitive ^jj+atrb+++=cognitive
neuroscience ^nn+nom+++=neuroscience,
, ^zz++++=EXTRAWORD
a ^at++++=a
branch ^nn++++=branch
of ^in++++=of
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
deals ^vbz++++=deals
with ^in+ppvb+++=with
the ^ati++++=the
scientific ^jj+atrb+++=scientific
study ^nn++++=study
of ^in++++=of
the ^ati++++=the
biological ^jj+atrb+++=biological
mechanisms ^nns+nom+++=mechanisms
underlying ^vwbg+++xvbg+=underlying
cognition ^nn+nom+++=cognition,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
specific ^jj+atrb+++=specific
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
neural ^jj+atrb+++=neural
substrates ^nns+nom+++=substrates
of ^in++++=of
mental ^jj+atrb+++=mental
processes ^nns+nom+++=processes
and ^cc++++=and
their ^pp$+pp3+++=their
behavioral ^jj+atrb+++=behavioral
manifestations ^nns+nom+++=manifestations.
. ^zz++++=EXTRAWORD
