Many ^ap++++=Many
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
up ^rb+phrv+++=up
this ^dt+dem+++=this
entitlement ^nn+nom+++=entitlement
to ^to++++=to
apply ^vbi++++=apply
for ^in++++=for
Portuguese ^jj+atrb+++=Portuguese
citizenship ^nn+nom+++=citizenship
have ^vb+hv+aux++=have
sought ^vprf+++xvbnx+=sought
work ^nn++++=work
in ^in++++=in
countries ^nns++++=countries
other ^ap++++=other
than ^in++++=than
Portugal ^np+nom+++=Portugal,
, ^zz++++=EXTRAWORD
notably ^rb++++=notably
the ^ati++++=the
United ^np++++=United
Kingdom ^nn+nom+++=Kingdom.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
trend ^nn++++=trend
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
particularly ^rb++splt++=particularly
marked ^vpsv++agls+xvbn+=marked
since ^in++++=since
the ^ati++++=the
recent ^jj++++=recent
economic ^jj++++=economic
downturn ^jj+++xvbn+=downturn
in ^in++++=in
Portugal ^np+nom+++=Portugal.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
no ^at++++=no
official ^jj+atrb+++=official
statistics ^nns++++=statistics
on ^in++++=on
the ^ati++++=the
numbers ^nns+nom+++=numbers
of ^in++++=of
Timorese ^np+nom++??+=Timorese
currently ^rb++++=currently
living ^jj+++xvbg+=living
and ^cc+phrs+++=and
working ^jj+++xvbg+=working
in ^in++++=in
the ^ati++++=the
Uk ^np++++=UK,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
according ^in++++=according
to ^in++++=to
informal ^jj+atrb+++=informal
estimates ^nns+nom+++=estimates,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
number ^nn++++=number
is ^vbz+bez+vrb++=is
circa ^rb++++=circa
15,000 ^cd++++=15,000.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
remittances ^nns+nom++??+=remittances
( ^zz++++=(to
to ^in++++=EXTRAWORD
family ^nn++++=family
members ^nns+nom+++=members
in ^in++++=in
Timor ^np+++??+=Timor-Leste)
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
highly ^rb+amp+++=highly
significant ^jj+pred+++=significant:
: ^zz++++=EXTRAWORD
in ^in++++=in
2008 ^cd++++=2008,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
estimated ^vpsv++agls+xvbnx+=estimated
that ^tht+vcmp+++=that
remittances ^nns+nom++??+=remittances
to ^in++++=to
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Uk ^np++++=UK
amounted ^vbd+++xvbn+=amounted
to ^to++++=to
$ ^zz++++=$5
5 ^zz++++=EXTRAWORD
million ^cd++++=million
( ^zz++++=(US
us ^pp1o+pp1+++=EXTRAWORD
dollars ^nns++++=dollars)
) ^zz++++=EXTRAWORD
a ^at++++=a
year ^nn++++=year
( ^zz++++=(SHUAIB,
shuaib ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
much ^ap++++=much
higher ^jjr++++=higher
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
significant ^jj+atrb+++=significant
rise ^nn++++=rise
in ^in++++=in
numbers ^nns+nom+++=numbers
of ^in++++=of
people ^nns++++=people
migrating ^jj++++=migrating
to ^in++++=to
the ^ati++++=the
Uk ^np++++=UK
( ^zz++++=(see,
see ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
mcwilliam ^np++++=McWILLIAM,
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
