This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
second ^od++++=second
most ^ql+emph+++=most
prominent ^jj+atrb+++=prominent
family ^nn++++=family
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
constantly ^rb++++=constantly
try ^vb++++=try
to ^to+vcmp+++=to
change ^vbi++++=change
situations ^nns+nom+++=situations
( ^zz++++=(physical
physical ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
external ^jj++++=external)
) ^zz++++=EXTRAWORD
capable ^jj++++=capable
of ^in++++=of
activating ^xvbg+++xvbg+=activating
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
( ^zz++++=(GROSS,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=TAXER;
; ^zz++++=EXTRAWORD
Gross ^jj++++=GROSS,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification
included ^vbd+++xvbn+=included
strategies ^nns+++??+=strategies
for ^in+strn+++=for:
: ^zz++++=EXTRAWORD
a ^at++++=a)
) ^zz++++=EXTRAWORD
direct ^jj+atrb+++=direct
modification ^nn+nom+++=modification,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
salient ^jj+atrb+++=salient
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
characterized ^vpsv++agls+xvbnx+=characterized
( ^zz++++=(i)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
by ^in++++=by
adjusting ^xvbg+++xvbg+=adjusting
the ^ati++++=the
lesson ^nn++++=lesson
plan ^nn++++=plan
to ^to+ncmp+++=to
the ^ati++++=the
specific ^jj+atrb+++=specific
needs ^nns++++=needs
that ^tht+rel+subj++=that
arise ^vb++++=arise
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom,
