The ^ati++++=The
second ^od++++=second
method ^nn++++=method
explored ^vbd+++xvbn+=explored
in ^in++++=in
the ^ati++++=the
paper ^nn++++=paper
is ^vbz+bez+vrb++=is
sociocultural ^jj+atrb+++=sociocultural
discourse ^nn++++=discourse
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gives ^vbz++++=gives
prominence ^nn+nom+++=prominence
to ^in++++=to
the ^ati++++=the
contextual ^nn+nom+++=contextual
and ^cc++++=and
situatedness ^nns+nom+++=situatedness
of ^in++++=of
turns ^nns++++=turns
of ^in++++=of
speech ^nn++++=speech
while ^cs+sub+++=while
deepening ^nn++++=deepening
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
contributions ^nns+nom+++=contributions.
. ^zz++++=EXTRAWORD
Qualitative ^jj+atrb+++=Qualitative
analysis ^nn++++=analysis
can ^md+pos+++=can
highlight ^vb++++=highlight
the ^ati++++=the
" ^zz++++="participants'
participants ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
underlying ^jj+atrb++xvbg+=underlying
intentions ^nns+nom+++=intentions
and ^cc++++=and
responses ^nns++++=responses
to ^in++++=to
others ^aps++++=others
moreover ^nn+nom+++=moreover
enables ^vbz++++=enables
the ^ati++++=the
researcher ^nn+nom+++=researcher
to ^to++++=to
go ^vbi++++=go
beyond ^in++++=beyond
the ^ati++++=the
data ^nns++++=data,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance
to ^to++++=to
identify ^vbi++++=identify
missed ^vprf+++xvbn+=missed
opportunities ^nns+nom+++=opportunities
for ^in++++=for
extension ^nn++++=extension
or ^cc++++=or
challenge ^nn++++=challenge."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(Hennessy
hennessy ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Categorising ^np+++??+=Categorising
extracts ^nns++++=extracts
as ^in++++=as
a ^at++++=a
whole ^nn++++=whole
can ^md+pos+++=can
build ^vb++++=build
models ^nns++++=models
rather ^rb++++=rather
than ^in++++=than
recording ^xvbg+++xvbg+=recording
the ^ati++++=the
presence ^nn+nom+++=presence/absence
of ^in++++=of
target ^nn++++=target
discourse ^nn++++=discourse
moves ^nns++++=moves
in ^in++++=in
a ^at++++=a
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
categories ^nns++++=categories/typologies
are ^vb+ber+aux++=are
generated ^vpsv++agls+xvbnx+=generated
as ^ql++++=as
outcomes ^vbz++++=outcomes
rather ^rb++++=rather
than ^in++++=than
predetermined ^jj++++=predetermined
( ^zz++++=(Mercer,
mercer ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
