Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
Ros ^np+++??+=Ros
s ^zz++++=s
Labrada ^np+++??+=Labrada
sensed ^vbd+vprv++xvbn+=sensed
that ^tht+vcmp+++=that
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
archiving ^nn++++=archiving
remained ^vbd+++xvbn+=remained
fuzzy ^jj++++=fuzzy
, ^zz++++=,
particularly ^rb++++=particularly
in ^in++++=in
two ^cd++++=two
areas ^nns++++=areas:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
implications ^nns+nom+++=implications
of ^in++++=of
the ^ati++++=the
online ^nn+++??+=online
sharing ^vwbg+++xvbg+=sharing
of ^in++++=of
materials ^nns+nom+++=materials
that ^tht+rel+subj++=that
identify ^vb++++=identify
specific ^jj+atrb+++=specific
individuals ^nns+nom+++=individuals
and ^cc++++=and
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
options ^nns+nom+++=options
for ^in++++=for
sharing ^xvbg+++xvbg+=sharing
or ^cc++++=or
restricting ^xvbg+++xvbg+=restricting
access ^nn++++=access
to ^in++++=to
those ^dt+dem+++=those
materials ^nns+nom+++=materials
or ^cc++++=or
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
linguist ^nn+nom+++=linguist
took ^vbd+++xvbn+=took
steps ^nns++++=steps
to ^to++++=to
make ^vbi++++=make
sure ^jj++++=sure
that ^tht+jcmp+++=that
the ^ati++++=the
community ^nn+nom+++=community
really ^rb+emph+++=really
understood ^vbd+vprv++xvbn+=understood
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
involved ^vpsv++agls+xvbnx+=involved
in ^in++++=in
the ^ati++++=the
archiving ^jj+atrb++xvbg+=archiving
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
goal ^nn++++=goal
was ^vbd+bedz+aux++=was
to ^to++++=to
show ^vbi+vprv+++=show
them ^pp3o+pp3+++=them
what ^wdt+who+++=what
the ^ati++++=the
collection ^nn+nom+++=collection
in ^in++++=in
the ^ati++++=the
archive ^nn++++=archive
would ^md+prd+++=would
look ^vb++++=look
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
challenge ^nn++++=challenge
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
internet ^np++++=Internet
access ^nn++++=access
in ^in++++=in
the ^ati++++=the
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
