Since ^cs+sub+++=Since
Illumina ^np+++??+=Illumina
reads ^vbz++++=reads
will ^md+prd+++=will
only ^rb+down+++=only
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
final ^nn++++=final
polishing ^vwbg+++xvbg+=polishing
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Step ^nn++++=Step
5 ^zz++++=5),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
carry ^vb++++=carry
less ^rbr++++=less
importance ^nn+nom+++=importance
than ^in++++=than
Ont ^&fw++++=ONT
reads ^vbz++++=reads.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
current ^jj+atrb+++=current
Illumina ^np+++??+=Illumina
platforms ^nns++++=platforms
produce ^vb++++=produce
similar ^jj+atrb+++=similar
data ^nns++++=data
( ^zz++++=(e.g.
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
150 ^cd++++=150-bp
- ^zz++++=EXTRAWORD
bp ^vb+++??+=EXTRAWORD
paired ^vbd+++xvbn+=paired-end
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
reads ^vbz++++=reads)
) ^zz++++=EXTRAWORD
and ^cc++++=and
will ^md+prd+++=will
function ^nn+nom+++=function
equally ^rb++++=equally
well ^rb++++=well
for ^in++++=for
bacterial ^jj++++=bacterial
whole ^jj++++=whole-genome
- ^zz++++=EXTRAWORD
genome ^nn+++??+=EXTRAWORD
sequencing ^vwbg+++xvbg+=sequencing,
, ^zz++++=EXTRAWORD
with ^in++++=with
instrument ^nn+nom+++=instrument
choice ^nn++++=choice
driven ^vwbn+++xvbn+=driven
by ^in++++=by
cost ^nn++++=cost
and ^cc++++=and
multiplexing ^jj+atrb++xvbg+=multiplexing
needs ^nns++++=needs.
. ^zz++++=EXTRAWORD
Nextera ^np+++??+=Nextera
Xt ^np+++??+=XT
library ^nn+nom+++=library
preparations ^nns+nom+++=preparations
produce ^vb++++=produce
variable ^jj++++=variable
read ^vb+vprv++xvbn+=read
depth ^nn++++=depth
( ^zz++++=(i.e.
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
some ^dti++++=some
regions ^nns++++=regions
of ^in++++=of
the ^ati++++=the
genome ^nn+++??+=genome
may ^md+pos+++=may
have ^vb+hv+vrb++=have
low ^jj+atrb+++=low
depth ^nn++++=depth),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
Illumina ^np+++??+=Illumina
Dna ^np+++??+=DNA
Prep ^np+++??+=Prep
( ^zz++++=(a.k.a.
a.k.a ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Nextera ^np+++??+=Nextera
Dna ^np+++??+=DNA
Flex ^np+++??+=Flex)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Truseq ^np+++??+=TruSeq
are ^vb+ber+vrb++=are
preferable16 ^nn+++??+=preferable16.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Nextera ^np+++??+=Nextera
Xt ^np+++??+=XT
is ^vbz+bez+aux++=is
used ^vpsv++agls+xvbnx+=used,
, ^zz++++=EXTRAWORD
aim ^nn++++=aim
for ^in++++=for
a ^at++++=a
high ^jj+atrb+++=high
mean ^jj+atrb+++=mean
depth ^nn++++=depth
( ^zz++++=(e.g.
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
300 ^cd++++=300
) ^zz++++=)
to ^to++++=to
compensate ^nn+nom+++=compensate
for ^in++++=for
depth ^nn++++=depth
variation ^nn+nom+++=variation,
, ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
100 ^cd++++=100
should ^md+nec+++=should
be ^vb+be+vrb++=be
sufficient ^jj+pred+++=sufficient.
. ^zz++++=EXTRAWORD
For ^in++++=For
highly ^rb+amp+++=highly
repetitive ^jj+atrb+++=repetitive
genomes ^nns+++??+=genomes,
, ^zz++++=EXTRAWORD
mate ^nn++++=mate-pair
- ^zz++++=EXTRAWORD
pair ^nn++++=EXTRAWORD
preparations ^nns+nom+++=preparations
may ^md+pos+++=may
improve ^vb++++=improve
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
polishing ^vbg+++xvbg+=polishing
performance ^nn+nom+++=performance
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Pitfalls ^nns++++=Pitfalls).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
Illumina ^np+++??+=Illumina
reads ^nns++++=reads
are ^vb+ber+aux++=are
produced ^vpsv++agls+xvbnx+=produced,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recommend ^vb+vsua+++=recommend
using ^vbg+++xvbg+=using
a ^at++++=a
Qc ^np+++??+=QC
tool ^nn++++=tool
such ^abl++++=such
as ^ql++++=as
fastp17 ^vb+++??+=fastp17
to ^to++++=to
remove ^vbi++++=remove
low ^jj++++=low-quality
- ^zz++++=EXTRAWORD
quality ^nn+nom+++=EXTRAWORD
bases ^nns++++=bases
and ^cc++++=and
adapter ^jjr+atrb+++=adapter
sequences ^nns+nom+++=sequences.
. ^zz++++=EXTRAWORD
