Plants ^nns++++=Plants
deal ^nn++++=deal
with ^in++++=with
different ^jj+atrb+++=different
environmental ^jj+atrb+++=environmental
pressures ^nns++++=pressures,
, ^zz++++=EXTRAWORD
resisting ^vbg+++xvbg+=resisting
damage ^nn++++=damage,
, ^zz++++=EXTRAWORD
stress ^vb+vpub+++=stress
and ^cc+phrs+++=and
maintaining ^vbg+++xvbg+=maintaining
structural ^jj+atrb+++=structural
support ^nn++++=support
along ^in++++=along
their ^pp$+pp3+++=their
entire ^jjb+atrb+++=entire
life ^nn++++=life
span ^nn++++=span.
. ^zz++++=EXTRAWORD
The ^ati++++=The
damage ^nn++++=damage
resistance ^nn+nom+++=resistance
and ^cc++++=and
structural ^jj+atrb+++=structural
support ^nn++++=support
of ^in++++=of
stems ^nns++++=stems
and ^cc++++=and
leaves ^nns++++=leaves
of ^in++++=of
woody ^nn+++??+=woody
plants ^nns++++=plants
can ^md+pos+++=can
be ^vb+be+aux++=be
biomechanically ^rb++splt++=biomechanically
evaluated ^vpsv++by+xvbnx+=evaluated
by ^in++++=by
their ^pp$+pp3+++=their
stiffness ^nns+nom+++=stiffness,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
and ^cc++++=and
toughness ^nns+nom+++=toughness
( ^zz++++=(Niklas
niklas ^nns+++??+=EXTRAWORD
1992 ^cd+date+++=1992,
, ^zz++++=EXTRAWORD
Speck ^nn++++=Speck
1994 ^cd+date+++=1994,
, ^zz++++=EXTRAWORD
Rowe ^np++++=Rowe
& ^zz++++=&
Speck ^nn++++=Speck
1996 ^cd+date+++=1996,
, ^zz++++=EXTRAWORD
Speck ^nn++++=Speck
& ^zz++++=&
Rowe ^np++++=Rowe
1999 ^cd+date+++=1999,
, ^zz++++=EXTRAWORD
Niklas ^np+++??+=Niklas
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
Rowe ^np++++=Rowe
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Interestingly ^rb+cnj+++=Interestingly,
, ^zz++++=EXTRAWORD
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+vrb+xvbnx+=been
focus ^nn++++=focus
of ^in++++=of
studies ^nns++++=studies
cross ^jj++++=cross-evaluating
- ^zz++++=EXTRAWORD
evaluating ^jj+atrb++xvbg+=EXTRAWORD
possible ^jj+atrb+++=possible
associations ^nns+nom+++=associations
between ^in++++=between
animal ^nn++++=animal
s ^zz++++=s
feeding ^vwbg+++xvbg+=feeding
behavior ^nn++++=behavior
and ^cc++++=and
the ^ati++++=the
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
specific ^jj+atrb+++=specific
plant ^nn++++=plant
parts ^nns++++=parts
these ^dt+dem+++=these
animals ^nns+nom+++=animals
consume ^vb++++=consume.
. ^zz++++=EXTRAWORD
The ^ati++++=The
physical ^jj+atrb+++=physical
properties ^nns++++=properties
of ^in++++=of
leaves ^nns++++=leaves
and ^cc++++=and
stems ^nns++++=stems
were ^vbd+bed+aux++=were
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
the ^ati++++=the
primate ^nn+nom+++=primate
s ^zz++++=s
masticatory ^nn++++=masticatory
structure ^nn++++=structure
( ^zz++++=(Strait
strait ^nn++++=EXTRAWORD
1997 ^cd+date+++=1997),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ultimately ^rb+cnj+++=ultimately,
, ^zz++++=EXTRAWORD
suggested ^j+++xvbn+=suggested
to ^to++++=to
be ^vbi+vbi+aux++=be
coevolving ^vbg+++xvbgx+=coevolving
in ^in++++=in
animals ^nns+nom+++=animals
and ^cc++++=and
plants ^nns++++=plants
( ^zz++++=(Thiery
thiery ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
the ^ati++++=the
biomechanical ^jj+atrb+++=biomechanical
properties ^nns++++=properties
of ^in++++=of
plant ^nn++++=plant
structures ^nns++++=structures
are ^vb+ber+aux++=are
measured ^vpsv++by+xvbnx+=measured
by ^in++++=by
mechanical ^jj+atrb+++=mechanical
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
structural ^jj+atrb+++=structural
Young ^jj+atrb+++=Young
s ^zz++++=s
modulus ^nn++++=modulus
measures ^nns++++=measures
the ^ati++++=the
relation ^nn+nom+++=relation
of ^in++++=of
bending ^xvbg+++xvbg+=bending
stiffness ^nns+nom+++=stiffness
by ^in++++=by
the ^ati++++=the
sample ^nn++++=sample
s ^zz++++=s
geometrical ^jj+atrb+++=geometrical
property ^nn++++=property
of ^in++++=of
area ^nn++++=area
( ^zz++++=(Niklas
niklas ^nns+++??+=EXTRAWORD
1992 ^cd+date+++=1992).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
toughness ^nns+nom+++=toughness
is ^vbz+bez+vrb++=is
the ^ati++++=the
material ^nn++++=material
s ^zz++++=s
or ^cc++++=or
plant ^nn++++=plant
tissue ^nn++++=tissue
resistance ^nn+nom+++=resistance
to ^in++++=to
fracture ^nn++++=fracture,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
energy ^nn++++=energy
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
fracture ^vb++++=fracture
an ^at++++=an
object ^nn++++=object.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
area ^nn++++=area
under ^in++++=under
a ^at++++=a
stress ^nn++++=stress-strain
- ^zz++++=EXTRAWORD
strain ^nn++++=EXTRAWORD
diagram ^nn++++=diagram
provides ^vbz+vsua+++=provides
the ^ati++++=the
measure ^nn++++=measure
of ^in++++=of
a ^at++++=a
material ^nn++++=material
s ^zz++++=s
toughness ^nns+nom+++=toughness
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
work ^nn++++=work
done ^vwbn+++xvbn+=done
per ^nnu++++=per
unit ^nn++++=unit
volume ^nn++++=volume
( ^zz++++=(Vincent
vincent ^np++++=EXTRAWORD
1992 ^cd+date+++=1992,
, ^zz++++=EXTRAWORD
Niklas ^np+++??+=Niklas
1992 ^cd+date+++=1992).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
properties ^nns++++=properties
depend ^vb++++=depend
on ^in++++=on
the ^ati++++=the
composition ^nn+nom+++=composition,
, ^zz++++=EXTRAWORD
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hydric ^jj+atrb+++=hydric
status ^nn++++=status
of ^in++++=of
the ^ati++++=the
material ^nn++++=material
( ^zz++++=(Niklas
niklas ^nns+++??+=EXTRAWORD
1992 ^cd+date+++=1992,
, ^zz++++=EXTRAWORD
Vincent ^np++++=Vincent
1990a ^cd++++=1990a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
mechanical ^jj+atrb+++=mechanical
properties ^nns++++=properties
are ^vb+ber+aux++=are
well ^rb++++=well
known ^vbd+vprv++xvbn+=known
for ^in++++=for
homogeneous ^jj+atrb+++=homogeneous
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
plastic ^nn++++=plastic
or ^cc++++=or
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
true ^jj++++=true
for ^in++++=for
the ^ati++++=the
heterogeneous ^jj+atrb+++=heterogeneous
biological ^jj+atrb+++=biological
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
plant ^nn++++=plant
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
