The ^ati++++=The
full ^jj+atrb+++=full
research ^nn++++=research
report ^nn++++=report
( ^zz++++=(Author,
author ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Xxxx ^np+++??+=XXXX)
) ^zz++++=EXTRAWORD
discusses ^vbz++++=discusses
these ^dt+dem+++=these
forms ^nns++++=forms
of ^in++++=of
collective ^jj+atrb+++=collective
construction ^nn+nom+++=construction
while ^cs+sub+++=while
proposing ^vbg+++xvbg+=proposing
a ^at++++=a
framework ^nn++++=framework
of ^in++++=of
reference ^nn+nom+++=reference
to ^in++++=to
each ^dt++++=each
typology ^nn+++??+=typology,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
examples ^nns++++=examples
from ^in++++=from
lessons ^nns++++=lessons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commenting ^vbg+++xvbg+=commenting
on ^in++++=on
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
space ^nn++++=space
and ^cc++++=and
scope ^nn++++=scope,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
opt ^vb++++=opt
to ^to++++=to
illustrate ^nn+nom+++=illustrate
and ^cc+phrs+++=and
discuss ^vb++++=discuss
only ^rb+down+++=only
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
typologies ^nns++++=typologies;
; ^zz++++=EXTRAWORD
guiding ^vbg+++xvbg+=guiding
explanations ^nns+nom+++=explanations
through ^in++++=through
response ^nn++++=response
narrowing ^vbg+++xvbg+=narrowing.
. ^zz++++=EXTRAWORD
