Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
primitive ^jj+atrb+++=primitive
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
small ^jj++++=small
to ^in++++=to
medium ^nn++++=medium-sized,
- ^zz++++=EXTRAWORD
sized ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
20 ^cd++++=20
cm ^nnu++++=cm
to ^to++++=to
1 ^zz++++=1
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
simple ^jj++++=simple
to ^to++++=to
3 ^zz++++=3-pinnate;
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
indument ^nn+nom+++=indument
absent ^jj++++=absent
or ^cc+phrs+++=or
formed ^jj+++xvbn+=formed
by ^in++++=by
2 ^zz++++=2-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
generally ^rb+down+++=generally
free ^jj++++=free;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
marginal ^jj++++=marginal
or ^cc++++=or
submarginal ^nn+nom+++=submarginal,
, ^zz++++=EXTRAWORD
elongate ^nn+nom+++=elongate,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
on ^in++++=on
comissural ^jj+atrb+++=comissural
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb++++=inner
indusia ^vb+++??+=indusia
modified ^vbd+++xvbn+=modified,
, ^zz++++=EXTRAWORD
elongate ^nn+nom+++=elongate;
; ^zz++++=EXTRAWORD
outer ^jjb+atrb+++=outer
indusia ^nn+++??+=indusia
not ^xnot++not++=not
modified ^vpsv++agls+xvbn+=modified
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
