Most ^ql+emph+++=Most
patients ^nns++++=patients
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
78 ^cd++++=78;
; ^zz++++=EXTRAWORD
85.7 ^cd++++=85.7%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
prior ^jj+atrb+++=prior
diagnosis ^nn++++=diagnosis
of ^in++++=of
cancer ^nn++++=cancer,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
the ^ati++++=the
most ^ql+emph+++=most
common ^jj+atrb+++=common
hematologic ^nn+++??+=hematologic
malignancies ^nns+++??+=malignancies
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
21 ^cd++++=21;
; ^zz++++=EXTRAWORD
23.1% ^cd++++=23.1%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
breast ^nn++++=breast
cancer ^nn++++=cancer
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
13 ^cd++++=13;
; ^zz++++=EXTRAWORD
14.3 ^cd++++=14.3%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
lung ^nn++++=lung
cancer ^nn++++=cancer
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
8 ^zz++++=8;
; ^zz++++=EXTRAWORD
8.8% ^cd++++=8.8%).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^in++++=At
least ^rbt++++=least,
, ^zz++++=EXTRAWORD
25 ^cd++++=25
patients ^nns++++=patients
( ^zz++++=(27.5%)
27.5 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
undergoing ^vbg+++xvbgx+=undergoing
oncologic ^jj+atrb++??+=oncologic
treatment ^nn++++=treatment
( ^zz++++=(chemotherapy,
chemotherapy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
immunotherapy ^nn+++??+=immunotherapy
or ^cc++++=or
radiotherapy ^nn+++??+=radiotherapy)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
moment ^nn++++=moment
of ^in++++=of
the ^ati++++=the
exam ^nn++++=exam.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
comorbidities ^nns+++??+=comorbidities
were ^vbd+bed+aux++=were
present ^vb++++=present
in ^in++++=in
17 ^cd++++=17
patients ^nns++++=patients
( ^zz++++=(18.7%),
18.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
common ^jj++++=common
were ^vbd+bed+vrb++=were
cardiopathy ^nn+++??+=cardiopathy
and ^cc++++=and
pneumopathy ^nn+++??+=pneumopathy
in ^in++++=in
6 ^zz++++=6
cases ^nns++++=cases
( ^zz++++=(6.6%)
6.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
each ^dt++++=each.
. ^zz++++=EXTRAWORD
