This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
study ^vb++++=study
assessing ^vbg+++xvbg+=assessing
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
Mvpa ^np+++??+=MVPA,
, ^zz++++=EXTRAWORD
Vpa ^np+++??+=VPA,
, ^zz++++=EXTRAWORD
Mpa ^np+++??+=MPA,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sb ^np+++??+=SB
and ^cc++++=and
prevalent ^jj+atrb+++=prevalent
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms
among ^in++++=among
self ^nn++++=self-isolating
- ^zz++++=EXTRAWORD
isolating ^vbg+++xvbg+=EXTRAWORD
adults ^nns++++=adults
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
half ^nn++++=half
of ^in++++=of
participants ^nns++++=participants
reported ^vbd+vpub++xvbn+=reported
performing ^vbg+++xvbg+=performing
30 ^cd++++=30
minutes ^nns++++=minutes
Mvpa ^np+++??+=MVPA
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
third ^od++++=third
reported ^vbd+vpub++xvbn+=reported
spending ^vbg+++xvbg+=spending
10 ^cd++++=10
hours ^nns++++=hours
in ^in++++=in
Sb ^np+++??+=SB
per ^nnu++++=per
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prevalence ^nn+++??+=prevalence
of ^in++++=of
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
was ^vbd+bedz+vrb++=was
approximately ^rb+down+++=approximately
40 ^cd++++=40%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
one ^cd1++++=one
third ^od++++=third
reported ^vbd+vpub++xvbn+=reported
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
D&a ^np+++??+=D&A
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
observed ^vbd+vprv++xvbn+=observed
a ^at++++=a
relationship ^nn++++=relationship
suggesting ^nn+vpub++xvbg+=suggesting
that ^tht+ncmp+++=that
people ^nns++++=people
reporting ^vwbg+++xvbg+=reporting
30 ^cd++++=30
minutes ^nns++++=minutes
in ^in++++=in
Mvpa ^np+++??+=MVPA
per ^nnu++++=per
day ^nn++++=day
were ^vbd+bed+vrb++=were
approximately ^rb+down+++=approximately
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
less ^rbr++++=less
likely ^jj++++=likely
to ^in+jcmp+++=to
present ^jj+atrb+++=present
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
adjust ^vb++++=adjust
for ^in++++=for
relevant ^jj+atrb+++=relevant
covariates ^nns+++??+=covariates.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
reporting ^jj+++xvbg+=reporting
15 ^cd++++=15
minutes ^nns++++=minutes
of ^in++++=of
Vpa ^np+++??+=VPA
per ^nnu++++=per
day ^nn++++=day
were ^vbd+bed+vrb++=were
approximately ^rb+down+++=approximately
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to
present ^vb++++=present
with ^in++++=with
prevalent ^jj+atrb+++=prevalent
depressive ^nn+++??+=depressive
and ^cc++++=and
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
less ^rbr++++=less
likely ^jj++++=likely
to ^in+jcmp+++=to
present ^jj+atrb+++=present
prevalent ^jj+atrb+++=prevalent
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
spending ^jj+++xvbg+=spending
10 ^cd++++=10
hours ^nns++++=hours
a ^at++++=a
day ^nn++++=day
in ^in++++=in
Sb ^np+++??+=SB
were ^vbd+bed+vrb++=were
39 ^cd++++=39%
% ^zz++++=EXTRAWORD
more ^rbr++++=more
likely ^jj++++=likely
to ^in+jcmp+++=to
present ^jj+atrb+++=present
prevalent ^jj+atrb+++=prevalent
depressive ^nn++++=depressive
symptoms ^nns++++=symptoms
in ^in++++=in
the ^ati++++=the
adjusted ^xvbn+++xvbn+=adjusted
models ^nns++++=models.
. ^zz++++=EXTRAWORD
