Prediction ^nn++++=Prediction
models ^nns++++=models
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
early ^jj+atrb+++=early
implementation ^nn++++=implementation
of ^in++++=of
physical ^jj+atrb+++=physical
distancing ^nn+++??+=distancing
would ^md+prd+++=would
result ^vb++++=result
in ^in++++=in
averting ^nn+++??+=averting
almost ^rb+hdg+++=almost
90,000 ^cd++++=90,000
deaths ^nns++++=deaths
in ^in++++=in
the ^ati++++=the
largest ^jjt+atrb+++=largest
metropolitan ^jj+atrb+++=metropolitan
area ^nn++++=area
in ^in++++=in
Brazil3 ^np+++??+=Brazil3.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
selfisolation ^nn+++??+=selfisolation
measures ^nns++++=measures
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
reduce ^vbi++++=reduce
the ^ati++++=the
infection ^nn++++=infection
rate4 ^nn+++??+=rate4,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
together ^rb++++=together
with ^in++++=with
the ^ati++++=the
pandemic ^nn+++??+=pandemic
fear ^vb++++=fear
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
6 ^zz++++=6
might ^md+pos+++=might
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
negative ^jj+atrb+++=negative
burden ^nn++++=burden
on ^in++++=on
mental ^jj+atrb+++=mental
health ^nn++++=health,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
increasing ^jj+atrb++xvbg+=increasing
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms7 ^nn+++??+=symptoms7,
, ^zz++++=EXTRAWORD
8 ^zz++++=8.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
strategies ^nns+++??+=strategies
to ^to++++=to
mitigate ^vbi++++=mitigate
the ^ati++++=the
present ^jj+atrb+++=present
and ^cc++++=and
future ^jjb+atrb+++=future
impact ^nn++++=impact
of ^in++++=of
this ^dt+dem+++=this
mental ^jj+atrb+++=mental
health ^nn++++=health
burden ^nn++++=burden
are ^vb+ber+vrb++=are
necessary9 ^nn++++=necessary9.
. ^zz++++=EXTRAWORD
