While ^cs+sub+++=While
our ^pp$+pp1+++=our
data ^nns++++=data
are ^vb+ber+vrb++=are
cross ^jj+pred+++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj++++=EXTRAWORD
and ^cc++++=and
directionality ^nn++++=directionality
is ^vbz+bez+vrb++=is
unclear ^nn+++??+=unclear,
, ^zz++++=EXTRAWORD
previous ^jj+atrb+++=previous
longitudinal14 ^nn+++??+=longitudinal14,
, ^zz++++=EXTRAWORD
15 ^cd++++=15,
, ^zz++++=EXTRAWORD
mendelian ^nn+++??+=mendelian
randomisation31 ^nn+++??+=randomisation31
and ^cc++++=and
randomised ^nn+++??+=randomised
trials32 ^nn+++??+=trials32
support ^nn++++=support
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
Mvpa ^np+++??+=MVPA
protects ^vbz++++=protects
against ^in++++=against
and ^cc++++=and
improves ^vbz++++=improves
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
Assuming ^vbg+vprv++xvbg+=Assuming
that ^tht+vcmp+++=that
Mvpa ^np+++??+=MVPA
is ^vbz+bez+vrb++=is
protective ^jj+pred+++=protective
against ^in++++=against
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
effects ^nns++++=effects
can ^md+pos+++=can
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
some ^dti++++=some
underlying ^jj+atrb++xvbg+=underlying
mechanisms ^nns++++=mechanisms.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
Mvpa ^np+++??+=MVPA
can ^md+pos+++=can
increase ^vb++++=increase
the ^ati++++=the
release ^nn++++=release
of ^in++++=of
endocannabinoids ^nns+++??+=endocannabinoids,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
antidepressant ^nn+++??+=antidepressant
and ^cc++++=and
anxiolytic ^nn+++??+=anxiolytic
effects33 ^nn+++??+=effects33.
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
Mvpa ^np+++??+=MVPA
