This ^dt+pdem+++=This
implies ^vbz+vprv+++=implies
the ^ati++++=the
profitable ^jj+atrb+++=profitable
postponement ^nn++++=postponement
of ^in++++=of
consumption ^nn++++=consumption
to ^in++++=to
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
greater ^jjr+atrb+++=greater
consumption ^nn++++=consumption
expectation ^nn++++=expectation
is ^vbz+bez+vrb++=is
only ^ap+down+++=only
attained ^jj+++xvbn+=attained
if ^cs+cnd+++=if
the ^ati++++=the
resources ^nns++++=resources
committed ^vbd+++xvbn+=committed
yield ^vb++++=yield
benefits ^nns++++=benefits
as ^ql++++=as
per ^nnu++++=per
the ^ati++++=the
opportunity ^nn++++=opportunity
cost ^nn++++=cost
of ^in++++=of
the ^ati++++=the
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
also ^rb++splt++=also
mean ^vb+vprv+++=mean
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
capital ^nn++++=capital
goods ^nns++++=goods:
: ^zz++++=EXTRAWORD
goods ^nns++++=goods
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
not ^xnot++not++=not
consumed ^jj++++=consumed
but ^cc+cls+++=but
instead ^rb+cnj+++=instead
used ^vpsv++agls+xvbn+=used
in ^in++++=in
future ^jjb+atrb+++=future
production ^nn++++=production.
. ^zz++++=EXTRAWORD
