Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+tht0++=appears
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
estimated ^jj+atrb++xvbn+=estimated
speed ^nn++++=speed
of ^in++++=of
duplication ^nn++++=duplication
of ^in++++=of
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
until ^in++++=until
March ^nr++++=March
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
for ^in++++=for
Canada ^np++++=Canada
and ^cc++++=and
the ^ati++++=the
United ^np++++=United
States ^np++++=States
( ^zz++++=(US),
us ^pp1o+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
occur ^vb++++=occur
every ^at++++=every
two ^cd++++=two
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
days ^nns++++=days.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
on ^in++++=on
April ^nr++++=April
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
time ^nn++++=time
increased ^vbd+++xvbn+=increased
to ^in++++=to
around ^rp++++=around
seven ^cd++++=seven
days ^nns++++=days,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
the ^ati++++=the
speed ^nn++++=speed
of ^in++++=of
the ^ati++++=the
spread ^nn+++xvbn+=spread,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
keeps ^vbz++++=keeps
these ^dt+dem+++=these
countries ^nns++++=countries
on ^in++++=on
alert ^nn++++=alert
for ^in++++=for
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
cases.27 ^nn+++??+=cases.27
Colombia ^np+++??+=Colombia
and ^cc++++=and
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
interval ^nn++++=interval,
, ^zz++++=EXTRAWORD
behaved ^j+++xvbn+=behaved
differently ^rb+cnj+++=differently,
, ^zz++++=EXTRAWORD
increasing ^jj+++xvbg+=increasing
the ^ati++++=the
doubling ^jj+atrb++xvbg+=doubling
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
decreasing ^jj+++xvbg+=decreasing
the ^ati++++=the
speed ^nn++++=speed
of ^in++++=of
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
until ^in++++=until
March ^nr++++=March
29 ^cd++++=29
and ^cc++++=and
30 ^cd++++=30,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
until ^in++++=until
April ^nr++++=April
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
speed ^nn++++=speed
was ^vbd+bedz+vrb++=was
higher ^jjr+pred+++=higher
for ^in++++=for
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
a ^at++++=a
doubling ^jj+atrb++xvbg+=doubling
interval ^nn++++=interval
slightly ^rb+down+++=slightly
higher ^jjr++++=higher
than ^in++++=than
four ^cd++++=four
days ^nns++++=days,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
reinforce ^vb++++=reinforce
measures ^nns++++=measures
to ^to++++=to
contain ^vbi++++=contain
the ^ati++++=the
epidemic ^nn++++=epidemic,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
effective ^jj+atrb+++=effective
arrest ^nn++++=arrest
of ^in++++=of
its ^pp$+it+++=its
advance ^nn++++=advance.
. ^zz++++=EXTRAWORD
Until ^in++++=Until
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
interval ^nn++++=interval,
, ^zz++++=EXTRAWORD
on ^in++++=on
April ^nr++++=April
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
in ^in++++=in
general ^jj++++=general
the ^ati++++=the
times ^nns++++=times
for ^in++++=for
doubling ^xvbg+++xvbg+=doubling
cases ^nns++++=cases
increased ^vbd+++xvbn+=increased,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
the ^ati++++=the
speed ^nn++++=speed
of ^in++++=of
infections ^nns++++=infections
dissemination ^nn+++??+=dissemination;
; ^zz++++=EXTRAWORD
in ^in++++=in
Mexico ^np++++=Mexico,
, ^zz++++=EXTRAWORD
Bolivia ^np+++??+=Bolivia,
, ^zz++++=EXTRAWORD
Peru ^np++++=Peru
and ^cc++++=and
Brazil ^np++++=Brazil
the ^ati++++=the
cases ^nns++++=cases
would ^md+prd+++=would
be ^vb+be+aux++=be
duplicated ^vpsv++agls+xvbnx+=duplicated
in ^in++++=in
up ^rp++++=up
to ^to++++=to
8 ^zz++++=8
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
countries ^nns++++=countries
in ^in++++=in
figure ^nn++++=figure
4 ^zz++++=4
showed ^vbd+vprv++xvbn+=showed
duplication ^nn++++=duplication
intervals ^nns++++=intervals
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
eleven ^cd++++=eleven
days ^nns++++=days,
, ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
eighteen ^cd++++=eighteen
days ^nns++++=days
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
colombia ^np++++=Colombia.
. ^zz++++=EXTRAWORD
