To ^in++++=To
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
no ^at++++=no
study ^nn++++=study
has ^vbz+hvz+aux++=has
evaluated ^vprf+++xvbnx+=evaluated
the ^ati++++=the
associations ^nns++++=associations
between ^in++++=between
Mvpa ^np+++??+=MVPA,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sb ^np+++??+=SB
with ^in++++=with
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
( ^zz++++=(D&A)
d&a ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
symptoms ^nns++++=symptoms
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
examine ^vb++++=examine
levels ^nns++++=levels
of ^in++++=of
Mvpa ^np+++??+=MVPA,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sb ^np+++??+=SB
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
in ^in++++=in
Brazil ^np++++=Brazil;
; ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
examine ^vb++++=examine
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms
in ^in++++=in
Brazil ^np++++=Brazil;
; ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
explore ^vb++++=explore
associations ^nns++++=associations
between ^in++++=between
Mvpa ^np+++??+=MVPA,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sb ^np+++??+=SB
with ^in++++=with
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
explore ^vb++++=explore
associations ^nns++++=associations
of ^in++++=of
different ^jj+atrb+++=different
intensities ^nns++++=intensities
( ^zz++++=(vigorous
vigorous ^jj+atrb+++=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn++++=activity
[ ^zz++++=[VPA]
vpa ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
or ^cc++++=or
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
[ ^zz++++=[MPA])
mpa ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
depressive ^nn++++=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cooccurring ^nn++++=cooccurring
d&a ^np++++=D&A
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
