Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
wide ^jj+atrb+++=wide
availability ^nn++++=availability
of ^in++++=of
testing ^xvbg+++xvbg+=testing
for ^in++++=for
antibodies ^nns++++=antibodies
and ^cc++++=and
the ^ati++++=the
universal ^nn++++=universal
testing ^vwbg+++xvbg+=testing
of ^in++++=of
Hcw ^np+++??+=HCW
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
game ^nn++++=game
changer ^nn+++??+=changer
as ^ql++++=as
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
reduces ^vbz++++=reduces
in ^in++++=in-hospital
- ^zz++++=EXTRAWORD
hospital ^npl++++=EXTRAWORD
transmission16 ^nn+++??+=transmission16;
; ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
reduces ^vbz++++=reduces
a ^at++++=a
potential ^jj+atrb+++=potential
source ^nn++++=source
of ^in++++=of
asymptomatic ^nn+++??+=asymptomatic
ongoing ^nn+++??+=ongoing
transmission ^nn++++=transmission
during ^in++++=during
a ^at++++=a
period ^nn++++=period
of ^in++++=of
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing;
; ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
promotes ^vbz++++=promotes
the ^ati++++=the
wellbeing ^nn+++??+=wellbeing
of ^in++++=of
Hcw ^np+++??+=HCW
ensuring ^vb+vprv++xvbg+=ensuring
that ^tht+vcmp+++=that
infected ^xvbn+++xvbn+=infected
colleagues ^nns++++=colleagues
are ^vb+ber+aux++=are
promptly ^rb++splt++=promptly
tested ^vpsv++agls+xvbnx+=tested
and ^cc++++=and
isolated17 ^nn+++??+=isolated17;
; ^zz++++=EXTRAWORD
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
enables ^vbz++++=enables
the ^ati++++=the
service ^nn++++=service
to ^to++++=to
isolate ^vbi++++=isolate
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
require ^vb+vsua+++=require
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
avoiding ^xvbg+++xvbg+=avoiding
being ^vbg+beg++xvbg+=being
short ^jj++++=short-staffed
- ^zz++++=EXTRAWORD
staffed ^xvbn+++xvbn+=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
self ^vb++++=self-isolation
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
or ^cc++++=or
widespread ^jj+atrb+++=widespread
contamination ^nn++++=contamination
of ^in++++=of
the ^ati++++=the
hcw ^np++++=HCW.
. ^zz++++=EXTRAWORD
