As ^in++++=As
a ^at++++=a
contribution ^nn++++=contribution,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
and ^cc++++=and
its ^pp$+it+++=its
methodological ^jj+atrb+++=methodological
design ^nn++++=design
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
basis ^nn++++=basis
for ^in++++=for
other ^ap++++=other
propositions ^nns++++=propositions,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
filling ^vbg+++xvbg+=filling
a ^at++++=a
gap ^nn++++=gap
in ^in++++=in
the ^ati++++=the
list ^nn++++=list
of ^in++++=of
bibliometric ^nn+++??+=bibliometric
research ^nn++++=research
in ^in++++=in
health ^nn++++=health,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
nursing ^nn++++=nursing,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
commitment ^nn++++=commitment
to ^to+ncmp+++=to
consolidate ^vbi++++=consolidate
its ^pp$+it+++=its
body ^nn++++=body
of ^in++++=of
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
developing ^vbg+++xvbg+=developing
research ^nn++++=research
that ^tht+rel+subj++=that
can ^md+pos+++=can
simultaneously ^rb+tm+splt++=simultaneously
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
growth ^nn++++=growth
and ^cc++++=and
consolidation ^nn++++=consolidation
of ^in++++=of
this ^dt+dem+++=this
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
