Demographic ^np+++??+=Demographic
data ^nns++++=data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected,
, ^zz++++=EXTRAWORD
including ^in++++=including
sex ^nn++++=sex
( ^zz++++=(male
male ^jj++++=EXTRAWORD
or ^cc+phrs+++=or
female ^jj++++=female),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
age ^nn++++=age
( ^zz++++=(in
in ^in++++=EXTRAWORD
10 ^cd++++=10-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
age ^nn++++=age
bands ^nns++++=bands),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ethnicity ^nn+++??+=ethnicity
( ^zz++++=(asian,
asian ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
black ^jj++++=black,
, ^zz++++=EXTRAWORD
caucasian ^jj++++=caucasian,
, ^zz++++=EXTRAWORD
mixed ^j+++xvbn+=mixed,
, ^zz++++=EXTRAWORD
other ^ap++++=other),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
marital ^jj+atrb+++=marital
status ^nn++++=status
( ^zz++++=(single,
single ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
separated ^j+++xvbn+=separated/divorced,
widowed ^jj+++xvbn+=widowed
or ^cc+phrs+++=or
married ^jj+++xvbn+=married/in
a ^at++++=a
domestic ^jj+atrb+++=domestic
partnership ^nn++++=partnership),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
employment ^nn++++=employment
( ^zz++++=(Unemployed,
unemployed ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Student ^nn++++=Student,
, ^zz++++=EXTRAWORD
Military ^jj++++=Military,
, ^zz++++=EXTRAWORD
Self ^nn++++=Self-employed
- ^zz++++=EXTRAWORD
employed ^vbd+++xvbn+=EXTRAWORD
or ^cc+phrs+++=or
Retired ^vbd+++xvbn+=Retired),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
household ^nn++++=household
income ^nn++++=income
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
< ^zz++++=<R$1254,
r$1254 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
R$1255 ^np+++??+=R$1255-R$2004,
- ^zz++++=EXTRAWORD
r$2004 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
R$2005 ^np+++??+=R$2005-R$8640,
- ^zz++++=EXTRAWORD
r$8640 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
R$8641 ^np+++??+=R$8641-R$11261,
- ^zz++++=EXTRAWORD
r$11261 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
> ^zz++++=>R$11262),
r$11262 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Brazilian ^jj+atrb+++=Brazilian
state ^nn++++=state
they ^pp3a+pp3+++=they
lived ^vbd+++xvbnx+=lived
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Participants ^nns++++=Participants
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
in ^in++++=in
self ^nn++++=self-isolation
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
and ^cc++++=and
to ^in++++=to
report ^nn++++=report
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
days ^nns++++=days
in ^in++++=in
self ^nn++++=self-isolation.
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Substance ^nn++++=Substance
consumption ^nn++++=consumption,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
current ^jj+atrb+++=current
smoking ^jj+atrb++xvbg+=smoking
status ^nn++++=status
( ^zz++++=(yes
yes ^uh++++=EXTRAWORD
or ^cc++++=or
no ^at++++=no),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
current ^jj+atrb+++=current
alcohol ^nn++++=alcohol
consumption ^nn++++=consumption
( ^zz++++=(yes
yes ^uh++++=EXTRAWORD
or ^cc++++=or
no ^at++++=no)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
evaluated ^vpsv++agls+xvbnx+=evaluated.
. ^zz++++=EXTRAWORD
Self ^nn++++=Self-reported
- ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=EXTRAWORD
previous ^jj+atrb+++=previous
diagnosis ^nn++++=diagnosis
of ^in++++=of
chronic ^jj+atrb+++=chronic
physical ^jj+atrb+++=physical
conditions ^nns++++=conditions
( ^zz++++=(e.g.:
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
obesity ^nn++++=obesity,
, ^zz++++=EXTRAWORD
hypertension ^nn+++??+=hypertension,
, ^zz++++=EXTRAWORD
myocardial ^nn+++??+=myocardial
infarction ^nn++++=infarction,
, ^zz++++=EXTRAWORD
angina ^nn++++=angina
pectoris ^nn"++++=pectoris
and ^cc++++=and
other ^ap++++=other
coronary ^jj+atrb+++=coronary
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
other ^ap++++=other
cardiac ^jj+atrb+++=cardiac
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
varicose ^jj+atrb+++=varicose
veins ^nns++++=veins
of ^in++++=of
lower ^jjr+atrb+++=lower
extremities ^nns++++=extremities,
, ^zz++++=EXTRAWORD
osteoarthritis ^nns+++??+=osteoarthritis,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
neck ^nn++++=neck
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
low ^jj+atrb+++=low
back ^jjb+atrb+++=back
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
allergy ^nn+++??+=allergy
[ ^zz++++=[excluding
excluding ^vbg+++xvbg+=EXTRAWORD
allergic ^jj+atrb+++=allergic
asthma ^nn++++=asthma],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
asthma ^nn++++=asthma
[ ^zz++++=[including
including ^in++++=EXTRAWORD
allergic ^jj+atrb+++=allergic
asthma ^nn++++=asthma],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
bronchitis ^nn++++=bronchitis,
, ^zz++++=EXTRAWORD
emphysema ^nn+++??+=emphysema
or ^cc++++=or
chronic ^jj+atrb+++=chronic
obstructive ^nn+++??+=obstructive
pulmonary ^nn+++??+=pulmonary
disease ^nn++++=disease
[ ^zz++++=[COPD],
copd ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
type ^nn++++=type
1 ^zz++++=1
diabetes ^nn++++=diabetes,
, ^zz++++=EXTRAWORD
type ^nn++++=type
2 ^zz++++=2
diabetes ^nn++++=diabetes,
, ^zz++++=EXTRAWORD
diabetic ^nn++++=diabetic
retinopathy ^nn+++??+=retinopathy,
, ^zz++++=EXTRAWORD
cataract ^nn++++=cataract,
, ^zz++++=EXTRAWORD
peptic ^nn+++??+=peptic
ulcer ^nn++++=ulcer
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
urinary ^nn+++??+=urinary
incontinence ^nn+++??+=incontinence
or ^cc++++=or
urine ^nn++++=urine
control ^nn++++=control
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
hypercholesterolaemia ^nn+++??+=hypercholesterolaemia,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
skin ^nn++++=skin
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
constipation ^nn++++=constipation,
, ^zz++++=EXTRAWORD
liver ^nn++++=liver
cirrhosis ^nns+++??+=cirrhosis
and ^cc++++=and
other ^ap++++=other
hepatic ^nn+++??+=hepatic
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
stroke ^nn++++=stroke,
, ^zz++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
migraine ^nn+++??+=migraine
and ^cc++++=and
other ^ap++++=other
frequent ^jj+atrb+++=frequent
chronic ^jj+atrb+++=chronic
headaches ^nns++++=headaches,
, ^zz++++=EXTRAWORD
haemorrhoids ^nns+++??+=haemorrhoids,
, ^zz++++=EXTRAWORD
cancer ^nn++++=cancer,
, ^zz++++=EXTRAWORD
osteoporosis ^nns+++??+=osteoporosis,
, ^zz++++=EXTRAWORD
thyroid ^jj+atrb+++=thyroid
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
renal ^jj+atrb+++=renal
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
injuries ^nns++++=injuries),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as,
, ^zz++++=EXTRAWORD
previous ^jj+atrb+++=previous
diagnosis ^nn++++=diagnosis
of ^in++++=of
psychiatric ^jj+atrb+++=psychiatric
conditions ^nns++++=conditions
( ^zz++++=(e.g.:
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
bipolar ^nn+++??+=bipolar
disorder ^nn++++=disorder,
, ^zz++++=EXTRAWORD
schizophrenia ^nn++++=schizophrenia
or ^cc++++=or
others ^aps++++=others)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
also ^rb++splt++=also
evaluated ^vpsv++agls+xvbnx+=evaluated
through ^in++++=through
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=EXTRAWORD
questions ^nns++++=questions.
. ^zz++++=EXTRAWORD
For ^in++++=For
these ^dt+dem+++=these
questions ^nns++++=questions,
, ^zz++++=EXTRAWORD
a ^at++++=a
list ^nn++++=list
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
above ^in+pl+++=above-mentioned
- ^zz++++=EXTRAWORD
mentioned ^vbn+vpub+tht0++=EXTRAWORD
conditions ^nns++++=conditions
was ^vbd+bedz+aux++=was
shown ^vprf+++xvbn+=shown.
. ^zz++++=EXTRAWORD
