Most ^ql+emph+++=Most
policies ^nns++++=policies
in ^in++++=in
recent ^jj+atrb+++=recent
times ^nns++++=times
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
centered ^vpsv++agls+xvbnx+=centered
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
improve ^vbi++++=improve
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
investment ^nn++++=investment
inflow ^nn++++=inflow
but ^cc++++=but
as ^in++++=as
to ^to++++=to
what ^wdt+who+++=what
factors ^nns++++=factors
determine ^vb++++=determine
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
investment ^nn++++=investment
inflow ^nn++++=inflow
in ^in++++=in
an ^at++++=an
economy ^nn++++=economy
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
mirage ^nn++++=mirage.
. ^zz++++=EXTRAWORD
