Prior ^jj+atrb+++=Prior
studies ^nns++++=studies
found ^vbd+vprv++xvbn+=found
a ^at++++=a
high ^jj+atrb+++=high
sensitivity ^nn++++=sensitivity
( ^zz++++=(97%)
97 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
low ^jj++++=low
to ^in++++=to
moderate ^jj+atrb+++=moderate
specificity ^nn++++=specificity
( ^zz++++=(25
25 ^cd++++=EXTRAWORD
56% ^cd++++=56%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
define ^vb++++=define
the ^ati++++=the
criteria ^nns++++=criteria
used ^md"++pmd"++=used
to ^to++++=to
classify ^vb++++=classify
chest ^nn++++=chest
Ct ^np+++??+=CT
findings ^nns++++=findings
as ^in++++=as
positive ^nn++++=positive
in ^in++++=in
that ^cs+sub+++=that
study(11,18 ^nn+++??+=study(11,18).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Bai ^np+++??+=Bai
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
demonstrated ^vb+++xvbn+=demonstrated
that ^tht+vcmp+++=that
Ct ^np+++??+=CT
has ^vbz+hvz+vrb++=has
a ^at++++=a
high ^jj+atrb+++=high
specificity ^nn++++=specificity
to ^to++++=to
differentiate ^vbi++++=differentiate
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
from ^in++++=from
other ^ap++++=other
viral ^nn+++??+=viral
pneumonias ^nns+++??+=pneumonias,
, ^zz++++=EXTRAWORD
with ^in++++=with
moderate ^jj+atrb+++=moderate
sensitivity(17 ^nn+++??+=sensitivity(17).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
different ^jj+atrb+++=different
criteria ^nns++++=criteria
used ^md"++pmd"++=used
to ^to++++=to
evaluate ^vb++++=evaluate
ct ^np++++=CT
findings ^nns++++=findings
can ^md+pos+++=can
achieve ^vb++++=achieve
different ^jj+atrb+++=different
diagnostic ^nn++++=diagnostic
accuracy ^nn++++=accuracy
results ^nns++++=results.
. ^zz++++=EXTRAWORD
