Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
is ^vbz+bez+vrb++=is
also ^rb++++=also
among ^in++++=among
the ^ati++++=the
priorities ^nns++++=priorities
of ^in++++=of
institutions ^nns++++=institutions
to ^in++++=to
decrease ^nn++++=decrease
transmission ^nn++++=transmission
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2.
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Separation ^nn++++=Separation
minimizes ^nns+++??+=minimizes
contact ^nn++++=contact
between ^in++++=between
potentially ^rb++++=potentially
infected ^jj+atrb++xvbn+=infected
and ^cc+phrs+++=and
healthy ^jj+atrb+++=healthy
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
between ^in++++=between
groups ^nns++++=groups
with ^in++++=with
high ^jj+atrb+++=high
rates ^nns++++=rates
of ^in++++=of
transmission ^nn++++=transmission
and ^cc++++=and
or ^cc++++=or
those ^dt+dem+++=those
with ^in++++=with
no ^at++++=no
or ^cc++++=or
low ^jj+atrb+++=low
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
delay ^vb++++=delay
the ^ati++++=the
peak ^nn++++=peak
of ^in++++=of
the ^ati++++=the
epidemic ^nn++++=epidemic
and ^cc++++=and
lessen ^vb++++=lessen
the ^ati++++=the
magnitude ^nn++++=magnitude
of ^in++++=of
its ^pp$+it+++=its
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
to ^to++++=to
protect ^vbi++++=protect
assistance ^nn++++=assistance
capacity ^nn++++=capacity
clinic.8 ^nn+++??+=clinic.8
Isolation ^nn++++=Isolation
effectiveness ^nn++++=effectiveness
depends ^vbz++++=depends
on ^in++++=on
some ^dti++++=some
epidemiological ^nn+++??+=epidemiological
parameters ^nns++++=parameters,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
secondary ^jj+atrb+++=secondary
infections ^nns++++=infections
generated ^vwbn+++xvbn+=generated
by ^in++++=by
each ^ppls++++=each
new ^np++++=new
infection ^nn++++=infection
and ^cc++++=and
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
transmissions ^nns++++=transmissions
that ^tht+rel+subj++=that
occur ^vb++++=occur
before ^in++++=before
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
symptoms.14 ^nn+++??+=symptoms.14-15
- ^zz++++=EXTRAWORD
15 ^cd++++=EXTRAWORD
These ^dt+dem+++=These
measures ^nns++++=measures
are ^vb+ber+aux++=are
justified ^vpsv++agls+xvbnx+=justified
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
risk ^vb++++=risk
that ^dt+dem+++=that
asymptomatic ^nn+++??+=asymptomatic
people ^nns++++=people
who ^whp+rel+subj++=who
remain ^vb++++=remain
in ^in++++=in
the ^ati++++=the
community ^nn++++=community
may ^md+pos+++=may
infect ^vb++++=infect
others ^aps++++=others
until ^in++++=until
their ^pp$+pp3+++=their
isolation ^nn++++=isolation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
makes ^vbz++++=makes
it ^pp3+it+++=it
a ^at++++=a
challenge ^nn++++=challenge
to ^in++++=to
control ^nn++++=control
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+dem+++=this
premise ^nn++++=premise,
, ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
1 ^zz++++=1
shows ^nns++++=shows
the ^ati++++=the
main ^jjb+atrb+++=main
public ^jj+atrb+++=public
health ^nn++++=health
measures ^nns++++=measures
to ^to++++=to
be ^vbi+vbi+aux++=be
adopted ^vpsv++agls+xvbnx+=adopted
early ^jj++++=early
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
