This ^dt+pdem+++=This
means ^vbz++++=means
that ^tht+rel+++=that
about ^in++++=about
34.97 ^cd++++=34.97%
% ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=systematic
variation ^nn++++=variation
in ^in++++=in
Fdi ^np+++??+=FDI
is ^vbz+bez+aux++=is
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
the ^ati++++=the
explanatory ^jj+atrb+++=explanatory
variables ^nns++++=variables
while ^cs+sub+++=while
65.03 ^cd++++=65.03%
% ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
other ^ap++++=other
variables ^nns++++=variables
not ^xnot++not++=not
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
model ^nn++++=model.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
model ^nn++++=model
has ^vbz+hvz+vrb++=has
a ^at++++=a
weak ^jj++++=weak
statistical ^jj++++=statistical
significant ^jj++++=significant
in ^in++++=in
analyzing ^nn+++??+=analyzing
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
selected ^jj+atrb+++=selected
macroeconomic ^nn++++=macroeconomic
variables ^nns++++=variables
on ^in++++=on
investment ^nn++++=Investment
inflow ^nn++++=inflow
in ^in++++=in
turkey ^nn++++=Turkey.
. ^zz++++=EXTRAWORD
