The ^ati++++=The
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
identified ^xvbn+++xvbn+=identified
species ^nns++++=species
was ^vbd+bedz+vrb++=was
129 ^cd++++=129,
, ^zz++++=EXTRAWORD
125 ^cd++++=125
belonging ^vbg+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
shrub ^nn++++=shrub-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
synusia ^nn+++??+=synusia
( ^zz++++=(one
one ^cd1++++=EXTRAWORD
exotic ^jj+atrb+++=exotic
species ^nns++++=species
Coffea ^np+++??+=Coffea
arabica ^nn+++??+=arabica
L. ^np+++??+=L.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
hemiepiphyte ^nn+++??+=hemiepiphyte
synusia ^nn+++??+=synusia
( ^zz++++=(Philodendron
philodendron ^nn+++??+=EXTRAWORD
appendiculatum ^nn+++??+=appendiculatum
Nadruz ^np+++??+=Nadruz
& ^zz++++=&
Mayo ^np+++??+=Mayo)
) ^zz++++=EXTRAWORD
and ^cc++++=and
three ^cd++++=three
of ^in++++=of
the ^ati++++=the
climber ^nn++++=climber
synusia ^nn+++??+=synusia
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
shrub ^nn++++=shrub-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
group ^nn++++=group
( ^zz++++=(Hippocratea
hippocratea ^nn+++??+=EXTRAWORD
volubilis ^nns+++??+=volubilis
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Salacia ^np+++??+=Salacia
elliptica ^nn+++??+=elliptica
( ^zz++++=(Mart.)
mart ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
and ^cc++++=and
Machaerium ^np+++??+=Machaerium
brasiliense ^nn+++??+=brasiliense
Vogel ^np+++??+=Vogel).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
39 ^cd++++=39
families ^nns++++=families
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
Myrtaceae ^np+++??+=Myrtaceae
( ^zz++++=(29
29 ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lauraceae ^np+++??+=Lauraceae
( ^zz++++=(15
15 ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Rubiaceae ^np+++??+=Rubiaceae
( ^zz++++=(10
10 ^cd++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Fabaceae ^np+++??+=Fabaceae
( ^zz++++=(8
8 ^zz++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
families ^nns++++=families
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
species ^nn++++=species.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
collection ^nn++++=collection
of ^in++++=of
vegetative ^nn+++??+=vegetative
and ^cc++++=and
fertile ^jj+atrb+++=fertile
material ^nn++++=material,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
identify ^vbi++++=identify
56 ^cd++++=56
species ^nns++++=species
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
appear ^vb+seem+++=appear
on ^in++++=on
the ^ati++++=the
park ^nn++++=Park
management ^nn++++=Management
plan ^nn++++=Plan
( ^zz++++=(table
table ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
