Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
highly ^rb+amp+splt++=highly
recommended ^vpsv++by+xvbnx+=recommended
by ^in++++=by
most ^ql+emph+++=most
surgical ^jj+atrb+++=surgical
societies ^nns++++=societies
around ^in++++=around
the ^ati++++=the
world ^nn++++=world
to ^to++++=to
postpone ^vbi++++=postpone
all ^abn++++=all
elective ^nn+++??+=elective
surgeries ^nns++++=surgeries
and ^cc++++=and
endoscopic ^nn+++??+=endoscopic
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
aiming ^vb+++xvbg+=aiming
to ^to+vcmp+++=to
protect ^vbi++++=protect
patients ^nns++++=patients
and ^cc++++=and
surgeons ^nns++++=surgeons
and ^cc++++=and
also ^rb++++=also
to ^in++++=to
minimize ^nn+++??+=minimize
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
necessary ^jj+atrb+++=necessary
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
hospital ^npl++++=hospital
beds ^nns++++=beds
and ^cc++++=and
personal ^jj+atrb+++=personal
protective ^jj+atrb+++=protective
equipment ^nn++++=equipment
( ^zz++++=(PPE)
ppe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(32,33).
32,33 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
the ^ati++++=the
surgical ^jj+atrb+++=surgical
procedure ^nn++++=procedure,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
concern ^nn++++=concern
for ^in++++=for
the ^ati++++=the
aerosolization ^nn+++??+=aerosolization
of ^in++++=of
the ^ati++++=the
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
virus ^nn++++=virus
in ^in++++=in
minimally ^nn+++??+=minimally
invasive ^nn+++??+=invasive
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
robust ^jj+atrb+++=robust
evidence ^nn++++=evidence.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
could ^md+pos+++=could
also ^rb++++=also
be ^vb+be+vrb++=be
the ^ati++++=the
case ^nn++++=case
with ^in++++=with
electrocautery ^nn+++??+=electrocautery
use ^nn++++=use
during ^in++++=during
open ^jj+atrb+++=open
surgery ^nn++++=surgery.
. ^zz++++=EXTRAWORD
Strict ^jj+atrb+++=Strict
use ^nn++++=use
of ^in++++=of
Ppe ^np+++??+=PPE
according ^in++++=according
to ^in++++=to
local ^jj+atrb+++=local
practice ^nn++++=practice
is ^vbz+bez+vrb++=is
advisable ^jj+pred+++=advisable,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
includes ^vb++++=includes
an ^at++++=an
N95 ^np+++??+=N95
mask ^nn++++=mask
and ^cc++++=and
face ^nn++++=face
shield ^nn++++=shield
protection ^nn++++=protection.
. ^zz++++=EXTRAWORD
Negative ^jj+atrb+++=Negative
pressure ^nn++++=pressure
surgical ^jj+atrb+++=surgical
rooms ^nns++++=rooms
should ^md+nec+++=should
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
if ^cs+cnd+++=if
available ^jj++++=available
and ^cc++++=and
for ^in++++=for
laparoscopic ^nn+++??+=laparoscopic
surgery ^nn++++=surgery,
, ^zz++++=EXTRAWORD
a ^at++++=a
smoke ^nn++++=smoke
evacuation ^nn++++=evacuation
system ^nn++++=system
is ^vbz+bez+vrb++=is
advisable ^jj+pred+++=advisable.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
essential ^nn++++=essential
staff ^nn++++=staff
should ^md+nec+++=should
take ^vb++++=take
part ^nn++++=part
in ^in++++=in
the ^ati++++=the
surgery ^nn++++=surgery.
. ^zz++++=EXTRAWORD
