Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
many ^ap++++=many
studies ^nns++++=studies
using ^vwbg+++xvbg+=using
bioactive ^nn+++??+=bioactive
compounds ^nns++++=compounds
and ^cc++++=and
plants ^nns++++=plants
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
( ^zz++++=(Lima
lima ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
Macedo ^np+++??+=Macedo-Costa
- ^zz++++=EXTRAWORD
costa ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
Veloso ^np+++??+=Veloso
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Sette ^np+++??+=Sette-de-Souza
- ^zz++++=EXTRAWORD
de ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
souza ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
Silva ^np+++??+=Silva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Schinopsis ^np+++??+=Schinopsis
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
folk ^jjb+atrb+++=folk
medicine ^nn++++=medicine
to ^to++++=to
combat ^vbi++++=combat
various ^jj+atrb+++=various
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
