The ^ati++++=The
median ^nn++++=median
of ^in++++=of
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
in ^in++++=in
the ^ati++++=the
overall ^jjb+atrb+++=overall
sample ^nn++++=sample
was ^vbd+bedz+vrb++=was
6.00 ^cd++++=6.00
( ^zz++++=(IQR=11.0),
iqr=11.0 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mean ^vb+vprv+++=mean
= ^zz++++==9.01
9.01 ^cd++++=EXTRAWORD
( ^zz++++=(9.12)
9.12 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
points ^nns++++=points
in ^in++++=in
the ^ati++++=the
Bai ^np+++??+=BAI
score ^nn++++=score
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
that ^cs+sub+++=that
spent ^vprf+++xvbn+=spent
30 ^cd++++=30
minutes ^nns++++=minutes
in ^in++++=in
Mvpa ^np+++??+=MVPA
reported ^vbd+vpub++xvbn+=reported
lower ^jjr+atrb+++=lower
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
than ^in++++=than
those ^dt+dem+++=those
that ^dt+pdem+++=that
spent ^vbd+++xvbn+=spent
< ^zz++++=<30
30 ^cd++++=EXTRAWORD
minutes ^nns++++=minutes
per ^nnu++++=per
day ^nn++++=day
in ^in++++=in
Mvpa ^np+++??+=MVPA
( ^zz++++=(AMD=
amd ^nn+++??+=EXTRAWORD
= ^zz++++=EXTRAWORD
- ^zz++++=-0.759;
0.759 ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
95%ci ^cd++++=95%CI=
= ^zz++++=EXTRAWORD
- ^zz++++=-1.312
1.312 ^cd++++=EXTRAWORD
to ^to++++=to
- ^zz++++=-0.206,
0.206 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
p=0.007 ^nn+++??+=p=0.007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
that ^dt+pdem+++=that
spent ^vbd+++xvbn+=spent
< ^zz++++=<10
10 ^cd++++=EXTRAWORD
hours ^nns++++=hours
in ^in++++=in
Sb ^np+++??+=SB
per ^nnu++++=per
day ^nn++++=day
reported ^vbd+vpub++xvbn+=reported
lower ^jjr+atrb+++=lower
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
than ^in++++=than
those ^dt+dem+++=those
that ^cs+sub+++=that
spent ^vprf+++xvbn+=spent
10 ^cd++++=10
hours ^nns++++=hours
in ^in++++=in
Sb ^np+++??+=SB
per ^nnu++++=per
day ^nn++++=day
( ^zz++++=(AMD=
amd ^nn+++??+=EXTRAWORD
= ^zz++++=EXTRAWORD
- ^zz++++=-1.665;
1.665 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
95%ci ^cd++++=95%CI=
= ^zz++++=EXTRAWORD
- ^zz++++=-2.869
2.869 ^cd++++=EXTRAWORD
to ^to++++=to
- ^zz++++=-0.461,
0.461 ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p=0.007 ^nn++++=p=0.007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
