Title	URL	Authors	Published	PDF Language	PDF URL	Submitted	Posted	Text ID	Discipline	Section	Paragraph	Text Paragraph	Text Paragraph ChatGPT	Section Code	Paragraph Code	EL2AP Filename	AI-EL2AP Filename	Type/Token	Word Length	Word Count	Factor 1 Score	Factor 2 Score	Factor 3 Score	Factor 4 Score	Factor 5 Score
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Abstract	Paragraph 1	(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae). As part of an ongoing project treating the ferns and lycophytes from the region of Viçosa, Minas Gerais State, Brazil, we here present the taxonomic treatment of the early divergent lineages of the leptosporangiate ferns: the families Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae. We have been sampling the remnant forest patches since 2012; we also fully reviewed the collection of herbarium VIC and other online collections: F, IAN, NY, PH, RB, U, UC, UPCB, US, and WTU. In the region of Viçosa, six taxa belonging to those families occur Dennstaedtia cicutaria and Pteridium esculentum subsp. arachnoideum (Dennstaedtiaceae); Lindsaea lancea var. lancea, L. quadrangularis subsp. quadrangularis, and L. stricta var. stricta (Lindsaeaceae); and Saccoloma elegans (Saccolomataceae). Among these taxa, only L. quadrangularis subsp. quadrangularis and S. elegans are endemic to the Brazilian Atlantic Rainforest; the remaining are widespread in the Neotropics. We present keys, descriptions, illustrations, examined specimens, and comments.	As part of an ongoing project focused on the ferns and lycophytes of the Viçosa region in Minas Gerais State, Brazil, this study provides a taxonomic treatment of the early-diverging lineages of leptosporangiate ferns, specifically the families Dennstaedtiaceae, Lindsaeaceae, and Saccolomataceae. Field sampling of remnant forest patches has been conducted since 2012, complemented by a comprehensive review of specimens housed in the VIC herbarium and additional online collections, including F, IAN, NY, PH, RB, U, UC, UPCB, US, and WTU. In the Viçosa region, six taxa from these families have been recorded: Dennstaedtia cicutaria and Pteridium esculentum subsp. arachnoideum (Dennstaedtiaceae); Lindsaea lancea var. lancea, L. quadrangularis subsp. quadrangularis, and L. stricta var. stricta (Lindsaeaceae); and Saccoloma elegans (Saccolomataceae). Of these, only L. quadrangularis subsp. quadrangularis and S. elegans are endemic to the Brazilian Atlantic Rainforest, while the others are widely distributed throughout the Neotropics. This work includes identification keys, species descriptions, illustrations, lists of examined specimens, and relevant taxonomic comments.	s1	p1	t000000_s1_p1_el2ap.txt	t000000_s1_p1_ai-el2ap.txt	26.3	5.8	162	-23.71	-4.13	3.95	-6.61	-3.63
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Introduction, Literature Review	Paragraph 1	At the end of the era in which the plant Classification Systems were mostly based on morphological data, Dennstaedtiaceae was considered a big family, comprehending three subfamilies (or tribes) and about 17 genera (Tryon & Tryon 1982, Kramer 1990). With the advent of molecular data, those subfamilies were raised to family-level, some families were created, and now the early- diverging leptosporangiate ferns are represented by Cystodiaceae (one genus), Dennstaedtiaceae with a stricter circumscription (11-12 genera), Lindsaeaceae (seven genera), Lonchitidaceae (one genus), Saccolomataceae (one or two genera), as well as the great Pteridaceae (+50 genera) (Smith et al. 2006, PPG I 2016, Shang et al. 2018, Schwartsburd et al. 2020).	At the end of the period when plant classification systems were primarily based on morphological data, Dennstaedtiaceae was recognized as a large family comprising three subfamilies (or tribes) and approximately 17 genera (Tryon & Tryon 1982; Kramer 1990). With the introduction of molecular data, these subfamilies were elevated to family rank, and additional families were established. Currently, the early-diverging leptosporangiate ferns are classified into Cystodiaceae (one genus), Dennstaedtiaceae in a more restricted sense (11–12 genera), Lindsaeaceae (seven genera), Lonchitidaceae (one genus), Saccolomataceae (one or two genera), and the more extensive Pteridaceae (over 50 genera) (Smith et al. 2006; PPG I 2016; Shang et al. 2018; Schwartsburd et al. 2020).	s8	p1	t000000_s8_p1_el2ap.txt	t000000_s8_p1_ai-el2ap.txt	20.5	5.4	109	-23.11	-4.52	7.56	-2.94	8.99
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Introduction, Literature Review	Paragraph 2	Brazil is represented by Dennstaedtiaceae with eight genera and 26 species, Lindsaeaceae with one genus and 34 spp., Lonchitidaceae with one genus and one sp., and Saccolomataceae with one genus and nine spp., leaving Pteridaceae apart (which is subject to another paper) (Kramer 1957, Pena et al. 2020, Schwartsburd 2020, Schwartsburd & Pena 2020). In general, these plants present characters considered plesiomorphic that are typical of the early-diverging lineages of Polypodiales, such as solesnotelic rhizomes clothed with hairs or primitive scales, large, highly dissected leaves, the sori that are truly marginal and protected by inner and outer indusia, and trilete spores (Tryon & Tryon 1982, Kramer 1990, PPG I 2016, Schwartsburd et al. 2020).	In Brazil, Dennstaedtiaceae is represented by eight genera and 26 species, Lindsaeaceae by one genus and 34 species, Lonchitidaceae by one genus and one species, and Saccolomataceae by one genus and nine species, excluding Pteridaceae, which is addressed in a separate study (Kramer 1957; Pena et al. 2020; Schwartsburd 2020; Schwartsburd & Pena 2020). These taxa generally exhibit plesiomorphic characteristics typical of early-diverging lineages of Polypodiales, including solenostelic rhizomes covered with hairs or primitive scales, large and highly dissected leaves, sori that are truly marginal and protected by both inner and outer indusia, and trilete spores (Tryon & Tryon 1982; Kramer 1990; PPG I 2016; Schwartsburd et al. 2020).	s8	p2	t000000_s8_p2_el2ap.txt	t000000_s8_p2_ai-el2ap.txt	22.0	5.2	118	-16.08	-5.73	7.47	-6.61	8.36
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Introduction, Literature Review	Paragraph 3	Pteridium is spread all across the globe (except for Antarctic) and may be the one most important to mankind by if directly affects the local human populations: it behaves as a pioneer weed invading croplands; it spreads its underground rhizomes making it hard to be removed; it intoxicates the cattle and horses; and it also intoxicates humans, when ingested - some studies also pointed out the transmission of its toxins (the psilatoquinis) via cow milk (e.g., Tryon 1941, Evans 1976, Page 1976, Marrs et al. 2000, Martini-Santos et al. 2010, Oliveira et al. 2018, Schwartsburd et al. 2018).	Pteridium is distributed globally, with the exception of Antarctica, and is considered highly significant due to its direct impacts on human populations. It acts as a pioneer weed, invading agricultural lands and spreading through extensive underground rhizomes, which complicates its removal. Pteridium is toxic to livestock such as cattle and horses, and it can also cause poisoning in humans when ingested. Additionally, several studies have indicated that its toxins, specifically ptaquiloside, can be transmitted to humans through cow milk (e.g., Tryon 1941; Evans 1976; Page 1976; Marrs et al. 2000; Martini-Santos et al. 2010; Oliveira et al. 2018; Schwartsburd et al. 2018).	s8	p3	t000000_s8_p3_el2ap.txt	t000000_s8_p3_ai-el2ap.txt	18.3	4.8	97	-2.16	-3.41	-2.12	-1.92	-0.5
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Introduction, Literature Review	Paragraph 4	In the State of Minas Gerais, Dennstaedtiaceae is represented by 14 species, Lindsaeaceae by 11 spp., and Saccolomataceae by three spp. (Pena et al. 2020 Schwartsburd 2020, Schwartsburd & Pena 2020, Schwartsburd 2022). Here, we present the taxonomic treatment of these families for the region of Viçosa, Minas Gerais State, Brazil, as part of the ongoing project on the Fern Flora of this region with fascicles in preparation and others already published: Miranda & Schwartsburd (2016 - Salviniales), Rabelo & Schwartsburd (2016 - Schizaeales), and Gonçalves da Silva & Schwartsburd (2017 - Polypodiaceae).	In the state of Minas Gerais, the family Dennstaedtiaceae is represented by 14 species, Lindsaeaceae by 11 species, and Saccolomataceae by three species (Pena et al. 2020; Schwartsburd 2020; Schwartsburd & Pena 2020; Schwartsburd 2022). In this study, we provide a taxonomic treatment of these families for the region of Viçosa, Minas Gerais, Brazil, as part of an ongoing project on the fern flora of this region. Previous fascicles from this project have been published, including Miranda & Schwartsburd (2016) on Salviniales, Rabelo & Schwartsburd (2016) on Schizaeales, and Gonçalves da Silva & Schwartsburd (2017) on Polypodiaceae, with additional fascicles currently in preparation.	s8	p4	t000000_s8_p4_el2ap.txt	t000000_s8_p4_ai-el2ap.txt	16.8	5.2	94	-25.59	-5.38	-0.54	-6.61	4.56
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Methodology	Paragraph 1	In the region of Viçosa, Minas Gerais State, Brazil, the remaining forest patches are classified as Semi-Deciduous Seasonal Forest (IBGE 2012). The local elevation ranges from 600 to 900 m.a.s.l. (pers. obs.), and the annual temperatures range from 5° to 30°C (INMET 2021).	In the Viçosa region of Minas Gerais State, Brazil, the remaining forest fragments are classified as Semi-Deciduous Seasonal Forest according to IBGE (2012). The local elevation varies between 600 and 900 meters above sea level (personal observation), and annual temperatures range from 5°C to 30°C (INMET 2021).	s14	p1	t000000_s14_p1_el2ap.txt	t000000_s14_p1_ai-el2ap.txt	10.3	4.7	45	-25.0	-5.73	2.52	-6.61	-0.26
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Methodology	Paragraph 2	We have been sampling the remnant forest patches since 2012. Specimens were collected and dried according to usual methods for fern collections (Windisch 1992) and then incorporated in herbarium VIC (acronyms following Thiers, continuously updated), with duplicates to be sent to other herbaria. We also fully reviewed the collection of herbarium VIC and collections of other herbaria online: F, IAN, NY, PH, RB, U, UC, UPCB, US, and WTU. Although the classification system adopted for the previous fascicles was based on an adaptation of Kenrick & Crane (1997) and Smith et al. (2006), we here adopt the system of PPG I (2016). Morphological terms are according to Lellinger (2002).	Since 2012, we have conducted sampling of the remnant forest patches. Specimens were collected and dried following standard protocols for fern collections (Windisch 1992) and subsequently incorporated into the VIC herbarium (herbarium acronyms follow Thiers, continuously updated), with duplicates designated for distribution to other herbaria. In addition, we conducted a comprehensive review of the collections at the VIC herbarium and examined online records from other herbaria, including F, IAN, NY, PH, RB, U, UC, UPCB, US, and WTU. While previous fascicles utilized a classification system adapted from Kenrick & Crane (1997) and Smith et al. (2006), the present study adopts the PPG I (2016) system. Morphological terminology follows Lellinger (2002).	s14	p2	t000000_s14_p2_el2ap.txt	t000000_s14_p2_ai-el2ap.txt	21.5	5.0	108	-20.61	-2.42	3.77	-6.61	1.99
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Results, Discussion, Conclusion	Paragraph 1	Dennstaedtiaceae, Lindsaeaceae, and Saccolomataceae, presented a total of four genera and six species occurring in the region of Viçosa. Four of those species have also infra-specific classifications, which were adopted here. The six taxa are: Dennstaedtia cicutaria (Sw.) T. Moore, and Pteridium esculentum subsp. arachnoideum (Kaulf.) J.A. Thomson (Dennstaedtiaceae); Lindsaea lancea (L.) Bedd. var. lancea, L. quadrangularis Raddi subsp. quadrangularis, and L. stricta (Sw.) Dryand. var. stricta (Lindsaeaceae); and Saccoloma elegans Kaulf. Among them, only L. quadrangularis subsp. quadrangularis and S. elegans are endemic to the Brazilian Atlantic Rainforest; the remaining taxa are widespread in the Neotropics. Differently from the other studied families: Salviniaceae (Miranda & Schwartsburd 2016); Anemiaceae (Rabelo & Schwartsburd 2016); Polypodicaeae (Gonçalves da Silva & Schwartsburd 2017), we have not recollected half of the taxa involved in this paper, which were collected on the 1930s and never again. Probably, they went locally extinct due to forest fragmentation and disturbance. We have not recollected D. cicutaria, L. lancea var. lancea, nor L. quandrangularis subsp. quadrangularis.	Dennstaedtiaceae, Lindsaeaceae, and Saccolomataceae are represented by a total of four genera and six species in the Viçosa region. Four of these species include infra-specific classifications, which are recognized in this study. The six taxa identified are: Dennstaedtia cicutaria (Sw.) T. Moore and Pteridium esculentum subsp. arachnoideum (Kaulf.) J.A. Thomson (Dennstaedtiaceae); Lindsaea lancea (L.) Bedd. var. lancea, L. quadrangularis Raddi subsp. quadrangularis, and L. stricta (Sw.) Dryand. var. stricta (Lindsaeaceae); and Saccoloma elegans Kaulf. Of these, only L. quadrangularis subsp. quadrangularis and S. elegans are endemic to the Brazilian Atlantic Rainforest, while the remaining taxa are widely distributed throughout the Neotropics. In contrast to other families previously studied—Salviniaceae (Miranda & Schwartsburd 2016), Anemiaceae (Rabelo & Schwartsburd 2016), and Polypodiaceae (Gonçalves da Silva & Schwartsburd 2017)—we were unable to relocate half of the taxa reported in this study, which were last collected in the 1930s. This absence may be attributable to local extinction resulting from forest fragmentation and disturbance. Specifically, D. cicutaria, L. lancea var. lancea, and L. quadrangularis subsp. quadrangularis were not recollected.	s21	p1	t000000_s21_p1_el2ap.txt	t000000_s21_p1_ai-el2ap.txt	28.3	5.7	169	-21.33	-4.03	2.43	-6.61	1.86
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Results, Discussion, Conclusion	Paragraph 2	Rhizomes generaly long-creeping, solenostelic or rarely dictyostelic or polycyclic, bearing hairs or rarely with primitive scales. Leaves monomorphic; stipes often with epipetiolar buds, usually with a omega-shaped vascular strand; laminae 2-5-pinnate, rarely less dissected; veins free or rarely anastomosing and then without included veinlets; indument formed by hairs or glandular hairs, or absent. Sori marginal or submarginal, linear or discrete, introrse or extrorse, protected by outer and/or inner indusia or rarely not protected; spores tetrahedral and trilete, or reniform and monolete (Smith et al. 2006).	Rhizomes are generally long-creeping and solenostelic, though they are rarely dictyostelic or polycyclic, and typically bear hairs or, less commonly, primitive scales. Leaves are monomorphic; stipes often possess epipetiolar buds and usually contain an omega-shaped vascular strand. Laminae are 2- to 5-pinnate, and are rarely less dissected. Veins are usually free, but may rarely be anastomosing, in which case included veinlets are absent. The indument consists of hairs, glandular hairs, or may be absent. Sori are marginal or submarginal, linear or discrete, introrse or extrorse, and are protected by outer and/or inner indusia, or rarely lack protection. Spores are either tetrahedral and trilete, or reniform and monolete (Smith et al. 2006).	s21	p2	t000000_s21_p2_el2ap.txt	t000000_s21_p2_ai-el2ap.txt	16.3	5.6	88	-22.15	-4.98	4.78	-6.61	0.04
(Fern flora of Viçosa, Minas Gerais State, Brazil: Dennstaedtiaceae, Lindsaeaceae and Saccolomataceae	https://preprints.scielo.org/index.php/scielo/preprint/view/5125	Nelson Túlio Lage Pena, Pedro Bond Schwartsburd	Submitted 11/22/2022 - Posted 11/23/2022	PDF	https://preprints.scielo.org/index.php/scielo/preprint/view/5125/9947	2022-11-22	2022-11-23	t000000	Biological Sciences	Results, Discussion, Conclusion	Paragraph 3	The family is cosmopolitan, composed of eleven genera and ca. 270 species (PPG I 2016, Shang et al. 2018, Schwartsburd et al. 2020). The clade containing Dennstaedtia, Leptolepia, Microlepia, and Oenotrichia still needs recircumscriptions, due to a polyphyletic Dennstaedtia (Schwartsburd et al. 2020).	The family is cosmopolitan and comprises approximately eleven genera and around 270 species (PPG I 2016; Shang et al. 2018; Schwartsburd et al. 2020). The clade that includes Dennstaedtia, Leptolepia, Microlepia, and Oenotrichia requires further taxonomic revision, as Dennstaedtia has been shown to be polyphyletic (Schwartsburd et al. 2020).	s21	p3	t000000_s21_p3_el2ap.txt	t000000_s21_p3_ai-el2ap.txt	9.0	5.7	42	-17.38	-5.73	1.27	-6.61	-3.63
