The ^ati++++=The
specimens ^nns++++=specimens
used ^vwbn+++xvbn+=used
in ^in++++=in
this ^dt+dem+++=this
work ^nn++++=work
comes ^vbz++++=comes
from ^in+ppvb+++=from
the ^ati++++=the
plateau ^nn++++=plateau
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
deposited ^vpsv++agls+xvbnx+=deposited
in ^in++++=in
the ^ati++++=the
scientific ^jj+atrb+++=scientific
collection ^nn+nom+++=collection
of ^in++++=of
the ^ati++++=the
Universidade ^np+++??+=Universidade
Santo ^np++++=Santo
Amaro ^np+++??+=Amaro
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
Herbarium ^np+++??+=Herbarium
Pmsp ^np+++??+=PMSP.
. ^zz++++=EXTRAWORD
Field ^nn++++=Field
collects ^vbz++++=collects
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
during ^in++++=during
February ^nr+nom+++=February
of ^in++++=of
2018 ^cd++++=2018
and ^cc++++=and
November ^nr+nom+++=November
of ^in++++=of
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
period ^nn++++=period
of ^in++++=of
development ^nn+nom+++=development
of ^in++++=of
this ^dt+dem+++=this
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Herborization ^np+nom++??+=Herborization
followed ^vbd+vprv+tht0+xvbn+=followed
the ^ati++++=the
methodology ^nn++++=methodology
described ^vbd+++xvbn+=described
by ^in++++=by
fidalgo ^np++++=Fidalgo
& ^zz++++=&
bononi ^np++++=Bononi
( ^zz++++=(1989).
1989 ^cd+date+++=EXTRAWORD
). ^nn++++=EXTRAWORD
