While ^cs+sub+++=While
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
not ^xnot++not++=not
question ^nn+nom+++=question
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
local ^jj+atrb+++=local
political ^jj+atrb+++=political
actors ^nns++++=actors
as ^ql++++=as
brokers ^nns+nom+++=brokers
for ^in++++=for
legislators ^nns++++=legislators,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
findings ^nns++++=findings
reveal ^vb+vprv+++=reveal
the ^ati++++=the
limits ^nns++++=limits
of ^in++++=of
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
theories ^nns++++=theories
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
most ^ql+emph+++=most
commonly ^rb++++=commonly
used ^vbd+++xvbn+=used
to ^in++++=to
study ^nn++++=study
this ^dt+dem+++=this
topic ^nn++++=topic
( ^zz++++=(Stokes
stokes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013)
) ^zz++++=EXTRAWORD
to ^to++++=to
describe ^vbi++++=describe
these ^dt+dem+++=these
relationships ^nns+nom+++=relationships
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
brokers ^nns+nom+++=brokers
hold ^nn++++=hold
elective ^jj+atrb+++=elective
office ^nn++++=office
and ^cc++++=and
play ^nn++++=play
a ^at++++=a
dual ^jj+atrb+++=dual
role ^nn++++=role.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
find ^vb+vprv+++=find
no ^at++++=no
support ^nn++++=support
for ^in++++=for
the ^ati++++=the
assumptions ^nns+nom+++=assumptions
that ^tht+ncmp+obj++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
inherent ^jj+atrb+++=inherent
conflict ^nn++++=conflict
of ^in++++=of
objectives ^nns++++=objectives
between ^in++++=between
brokers ^nns+nom+++=brokers
and ^cc++++=and
bosses ^nns++++=bosses,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
an ^at++++=an
informational ^jj+atrb+++=informational
asymmetry ^nn++++=asymmetry
in ^in++++=in
favor ^in"++++=favor
of ^in"++++=of
the ^ati++++=the
former ^ap++++=former
regardless ^rb++++=regardless
of ^in++++=of
the ^ati++++=the
context ^nn++++=context.
. ^zz++++=EXTRAWORD
