Simultaneously ^rb+cnj+++=Simultaneously,
, ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
says ^vbz+vpub+tht0++=says
that ^tht+vcmp+++=that:
: ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
clean ^vb++++=clean
your ^pp$+pp2+++=your
teeth ^nns++++=teeth
strong ^jj++++=strong
and ^cc+phrs+++=and
healthy ^jj++++=healthy;
; ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
reciprocates ^nns+nom+++=reciprocates
that ^tht+rel+++=that:
: ^zz++++=EXTRAWORD
And ^cc+cls+++=And
gives ^vbz++++=gives
your ^pp$+pp2+++=your
mouth ^nn++++=mouth
long ^rb++++=long
lasting ^jj+atrb++xvbg+=lasting
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
importance ^nn+nom+++=importance
is ^vbz+bez+vrb++=is
the ^ati++++=the
function ^nn+nom+++=function
of ^in++++=of
the ^ati++++=the
paratactic ^nn++++=paratactic,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
paratactic ^nn++++=paratactic,
, ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
discussed ^xvbn+++xvbn+=discussed
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
deploys ^nns+++??+=deploys
But ^cc++++=But
to ^to++++=to
counter ^vbi++++=counter
the ^ati++++=the
statement ^nn+nom+++=statement
of ^in++++=of
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
in ^in++++=in
Ia ^np+++??+=Ia
and ^cc++++=and
1b ^cd++++=1b,
, ^zz++++=EXTRAWORD
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1
differs ^nns+nom+++=differs.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
person ^nn++++=person
utilizes ^vbz++++=utilizes
And ^cc++++=And
to ^to++++=to
bravely ^rb++splt++=bravely
approve ^vbi++++=approve
of ^in++++=of
that ^dt+dem+++=that
the ^ati++++=the
current ^jj+atrb+++=current
claim ^nn++++=claim
that ^tht+ncmp+++=that
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
supplies ^nns++++=supplies
the ^ati++++=the
teeth ^nns++++=teeth
with ^in++++=with
the ^ati++++=the
breath ^nn++++=breath
feeling ^vwbg+++xvbg+=feeling
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
long ^rb++++=long
lasting ^jj+atrb++xvbg+=lasting
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath
to ^in++++=to
the ^ati++++=the
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
means ^nns++++=means
the ^ati++++=the
toothpaste ^nn++++=toothpaste
cares ^vbz++++=cares
for ^in+ppvb+++=for
both ^abx++++=both
the ^ati++++=the
teeth ^nns++++=teeth
and ^cc++++=and
the ^ati++++=the
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
energy ^nn++++=energy
to ^in++++=to
the ^ati++++=the
teeth ^nns++++=teeth
and ^cc++++=and
a ^at++++=a
good ^jj+atrb+++=good
smell ^nn++++=smell
to ^in++++=to
the ^ati++++=the
mouth ^nn++++=mouth
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dual ^jj+atrb+++=dual
purposes ^nns++++=purposes
influence ^nn+nom+++=influence
the ^ati++++=the
communicator ^nn++++=communicator
to ^to++++=to
certify ^vbi+vpub+++=certify
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
as ^ql++++=as
being ^jj+++xvbg+=being
2 ^zz++++=2-IN-1
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
toothpaste ^nn++++=toothpaste.
. ^zz++++=EXTRAWORD
