Goeppertia ^np+++??+=Goeppertia
monophylla ^nn+++??+=monophylla
has ^vbz+hvz+vrb++=has
the ^ati++++=the
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
form ^vb++++=form
large ^jj+atrb+++=large
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
exceeding ^vbg+++xvbg+=exceeding
30 ^cd++++=30
individuals ^nns+nom+++=individuals
( ^zz++++=(Saka
saka ^nn+++??+=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
observe ^vbi+vprv+++=observe
this ^dt+dem+++=this
phenomenom ^nn+++??+=phenomenom.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Saka ^np+++??+=Saka
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
species ^nns++++=species
may ^md+pos+++=may
have ^vb+hv+vrb++=have
purple ^nn++++=purple,
, ^zz++++=EXTRAWORD
grayish ^jj++++=grayish-white
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
pale ^jj++++=pale-yellow
- ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=EXTRAWORD
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
last ^ap++++=last
two ^cd++++=two
observed ^jj++++=observed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
of ^in++++=of
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
