This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
descriptive ^jj+atrb+++=descriptive
research ^nn++++=research,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
according ^in+strn+++=according,
, ^zz++++=EXTRAWORD
to ^in++++=to
Thomas ^np++++=Thomas,
, ^zz++++=EXTRAWORD
Nelson ^np++++=Nelson
and ^cc++++=and
Silverman ^np+nom++??+=Silverman
( ^zz++++=(2012,
2012 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p.293 ^nn+++??+=p.293),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
[ ^zz++++=[...]
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
a ^at++++=a
study ^nn++++=study
of ^in++++=of
status ^nn++++=status.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
adopts ^vbz+++??+=adopts
the ^ati++++=the
qualitative ^nn++++=qualitative
approach ^vb++++=approach
described ^vpsv++by+xvbn+=described
by ^in++++=by
Minayo ^np+++??+=Minayo
( ^zz++++=(1994),
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
tackles ^vbz++++=tackles
specific ^jj+atrb+++=specific
questions ^nns+nom+++=questions
and ^cc++++=and
is ^vbz+bez+aux++=is
concerned ^vpsv++agls+xvbnx+=concerned
about ^in++++=about
a ^at++++=a
level ^nn++++=level
of ^in++++=of
reality ^nn+nom+++=reality
that ^tht+rel+subj++=that
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
quantified ^jj+pred+++=quantified.
. ^zz++++=EXTRAWORD
